k,sample,total_time,best_ll,P00,P01,P10,P11,full_fit,gradient_gpu,init_cpu_gpu,mcmc_cpu,optimizer_gpu,transfer_pcie,warm_up_mcmc_cpu
1,1,6.329373836517334,-0.0004000663757324219,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,9.999999747378752e-05,4.9217424392700195,1.5152804851531982,1.4075968265533447,1.772493839263916,0.11503458023071289,0.0831441879272461,1.3914692401885986
1,2,4.847346782684326,0.0,0.8999999761581421,0.699999988079071,0.5,0.20000000298023224,3.498415231704712,1.2784111499786377,1.3489000797271729,0.5998258590698242,0.11396288871765137,0.08110880851745605,1.3823978900909424
1,3,6.7141335010528564,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,5.387223482131958,1.8464412689208984,1.3268611431121826,1.887178897857666,0.12856125831604004,0.08644962310791016,1.3821697235107422
1,4,6.270824432373047,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,4.930929660797119,1.5146236419677734,1.3398582935333252,1.7840149402618408,0.11509466171264648,0.0829157829284668,1.389937400817871
1,5,6.403562068939209,-0.0004000663757324219,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,9.999999747378752e-05,4.893570184707642,1.512812614440918,1.5099530220031738,1.7621557712554932,0.1138620376586914,0.08119034767150879,1.3793354034423828
1,6,6.5978803634643555,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,5.262894630432129,1.6350629329681396,1.334934949874878,1.957815408706665,0.13915061950683594,0.08773088455200195,1.383044719696045
1,7,6.387922048568726,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,4.974535703659058,1.5481364727020264,1.4133458137512207,1.781430959701538,0.1170351505279541,0.08341526985168457,1.3986833095550537
1,8,6.257537603378296,-0.0004000663757324219,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,9.999999747378752e-05,4.919842004776001,1.5321996212005615,1.3376615047454834,1.7649924755096436,0.11379051208496094,0.08155989646911621,1.3834562301635742
1,9,6.653776407241821,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,5.184888124465942,1.6477913856506348,1.4688518047332764,1.8712339401245117,0.11828207969665527,0.08798599243164062,1.41264009475708
1,10,6.336672306060791,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,4.924717664718628,1.5292589664459229,1.4119136333465576,1.7597815990447998,0.1151435375213623,0.08345484733581543,1.3920948505401611
1,11,6.239742279052734,-0.0004000663757324219,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,9.999999747378752e-05,4.916614532470703,1.5115573406219482,1.323094367980957,1.7725369930267334,0.11506843566894531,0.08234357833862305,1.390207290649414
1,12,7.44384241104126,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,4.982722282409668,1.5350077152252197,2.4610836505889893,1.785374641418457,0.11645197868347168,0.08343648910522461,1.4171254634857178
