k,sample,total_time,best_ll,P00,P01,P10,P11,full_fit,gradient_gpu,init_cpu_gpu,mcmc_cpu,optimizer_gpu,transfer_pcie,warm_up_mcmc_cpu
1,16,14.50273847579956,-0.0004000663757324219,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,9.999999747378752e-05,10.090699672698975,3.1188979148864746,4.411923170089722,2.8128044605255127,0.23905539512634277,0.1421501636505127,3.6951026916503906
1,17,15.588310718536377,-0.0004000663757324219,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,9.999999747378752e-05,11.065505504608154,3.089383602142334,4.5227062702178955,2.8061118125915527,0.28441953659057617,1.2139616012573242,3.592238426208496
1,18,13.174846172332764,-0.0004000663757324219,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,0.9998999834060669,8.717771768569946,3.12427020072937,4.456968784332275,1.4548120498657227,0.2317185401916504,0.14144349098205566,3.683746814727783
1,19,14.50394892692566,-0.0004000663757324219,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,9.999999747378752e-05,10.036667108535767,3.115787982940674,4.467180490493774,2.85211181640625,0.23080992698669434,0.14533066749572754,3.60914945602417
1,20,13.085798501968384,-0.0004000663757324219,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,0.9998999834060669,8.628515720367432,3.1219675540924072,4.457164525985718,1.4553024768829346,0.22895216941833496,0.14286112785339355,3.598226308822632
1,21,12.046887159347534,0.0,0.8999999761581421,0.699999988079071,0.5,0.20000000298023224,7.6404032707214355,2.6859242916107178,4.406388282775879,0.9123857021331787,0.2285614013671875,0.13838744163513184,3.5975723266601562
1,22,13.026354551315308,-0.0004000663757324219,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,0.9998999834060669,8.599415302276611,3.1032731533050537,4.426807641983032,1.4367754459381104,0.2328944206237793,0.1434333324432373,3.591010332107544
1,23,13.116538763046265,-0.0004000663757324219,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,0.9998999834060669,8.595532894134521,3.1044399738311768,4.520904302597046,1.458580493927002,0.2334742546081543,0.1420273780822754,3.5748982429504395
1,24,13.434469223022461,0.0,0.8999999761581421,0.699999988079071,0.5,0.20000000298023224,7.624430418014526,2.660493850708008,5.809948444366455,0.9438536167144775,0.23157882690429688,0.1366105079650879,3.575428009033203
1,25,14.821338891983032,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,10.275944948196411,3.2404625415802,4.545274019241333,3.0086121559143066,0.23327136039733887,0.14343833923339844,3.5701146125793457
1,26,14.640262126922607,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,10.242000102996826,3.1146979331970215,4.398163080215454,2.775123357772827,0.23468422889709473,0.14374756813049316,3.6206469535827637
1,27,13.330322265625,-0.0004000663757324219,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,0.9998999834060669,8.60354232788086,3.1191532611846924,4.726644515991211,1.4323220252990723,0.22759056091308594,0.14271140098571777,3.5973215103149414
1,28,13.090356588363647,-0.0004000663757324219,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,0.9998999834060669,8.5429847240448,3.0941579341888428,4.547240495681763,1.4140825271606445,0.22962164878845215,0.14203238487243652,3.5833470821380615
1,29,14.398705959320068,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,9.940100193023682,3.152827024459839,4.458500146865845,2.770075798034668,0.2289736270904541,0.1412804126739502,3.5680055618286133
1,30,13.210331916809082,-0.0004000663757324219,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,0.9998999834060669,8.731247663497925,3.139878988265991,4.47898530960083,1.4574689865112305,0.23086214065551758,0.22833704948425293,3.593200922012329
2,16,14.38072919845581,-3.7383749961853026,0.9998999834060669,0.254981130361557,9.999999747378752e-05,0.8691220879554749,10.003832817077637,3.4126412868499756,4.3767924308776855,2.5364253520965576,0.23494338989257812,0.1471881866455078,3.589038133621216
2,17,18.916524648666382,-6.921655654907227,0.9998999834060669,0.9998999834060669,0.20307931303977966,0.44907519221305847,13.19451904296875,3.426133871078491,5.721899032592773,5.724197626113892,0.2345726490020752,0.1487572193145752,3.5789127349853516
2,18,15.997019052505493,-5.530353546142578,0.9998999834060669,0.7420182824134827,9.999999747378752e-05,0.4818405508995056,11.443410634994507,3.3940703868865967,4.55350661277771,3.9909605979919434,0.23328828811645508,0.1428971290588379,3.6004891395568848
2,19,17.52495813369751,-7.0987529277801515,0.9998999834060669,0.9998999834060669,0.17255136370658875,0.8549959063529968,12.925680160522461,3.4380993843078613,4.599164009094238,5.3516247272491455,0.23994922637939453,0.14818572998046875,3.665849208831787
2,20,13.14387845993042,-0.0004000663757324219,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,0.9998999834060669,8.558931350708008,3.099597692489624,4.584850788116455,1.4388768672943115,0.23160481452941895,0.14229202270507812,3.565659761428833
2,21,19.108067512512207,-7.331965970993042,0.9998999834060669,0.7463915348052979,0.7262638211250305,0.4152214527130127,14.554534673690796,3.4591338634490967,4.55342698097229,7.042623281478882,0.23567676544189453,0.14956879615783691,3.5834836959838867
2,22,17.244187355041504,-6.115262031555176,0.9998999834060669,0.533682107925415,0.2567504346370697,0.5932773351669312,12.680297613143921,3.4389498233795166,4.563781023025513,5.201320171356201,0.23873090744018555,0.14551520347595215,3.5737874507904053
2,23,18.551002502441406,-6.271475791931152,0.9998999834060669,0.9998999834060669,0.41680195927619934,0.4176572263240814,13.960000038146973,3.4090211391448975,4.590880632400513,6.428596258163452,0.2345287799835205,0.14679360389709473,3.6181843280792236
2,24,15.745944261550903,-5.91174635887146,0.9998999834060669,0.13493070006370544,0.32836419343948364,0.9998999834060669,11.22632122039795,3.402183771133423,4.5195090770721436,3.7887022495269775,0.23106765747070312,0.1437511444091797,3.578749895095825
