k,sample,total_time,best_ll,P00,P01,P10,P11,full_fit,gradient_gpu,init_cpu_gpu,mcmc_cpu,optimizer_gpu,transfer_pcie,warm_up_mcmc_cpu
1,1,6.3346734046936035,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,4.946739196777344,1.5276861190795898,1.387892484664917,1.7819750308990479,0.1146841049194336,0.08356213569641113,1.393883228302002
1,2,6.281553745269775,-0.0004000663757324219,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,9.999999747378752e-05,4.910790681838989,1.529832124710083,1.3707287311553955,1.7532095909118652,0.1154320240020752,0.08339810371398926,1.3835899829864502
1,3,6.411339044570923,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,5.03286075592041,1.5371699333190918,1.3784444332122803,1.8683295249938965,0.1151437759399414,0.0829916000366211,1.3839271068572998
1,4,6.247770547866821,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,4.915725231170654,1.5343034267425537,1.3320119380950928,1.750037431716919,0.1163027286529541,0.08305191993713379,1.3872168064117432
1,5,6.260213851928711,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,4.903648376464844,1.5268640518188477,1.3565261363983154,1.7496461868286133,0.11458110809326172,0.08254766464233398,1.385375738143921
1,6,4.842425584793091,0.0,0.8999999761581421,0.699999988079071,0.5,0.20000000298023224,3.516374349594116,1.2988831996917725,1.3260185718536377,0.5973470211029053,0.11419177055358887,0.08283495903015137,1.3787870407104492
1,7,6.2331178188323975,-0.0004000663757324219,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,9.999999747378752e-05,4.927648305892944,1.535417079925537,1.3054351806640625,1.769773244857788,0.11574053764343262,0.08260726928710938,1.3790602684020996
1,8,6.4046790599823,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,5.060153484344482,1.5470125675201416,1.3444924354553223,1.8857722282409668,0.11580300331115723,0.08445048332214355,1.381176233291626
1,9,6.295261859893799,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,4.9299476146698,1.5520331859588623,1.365281581878662,1.7478034496307373,0.11679506301879883,0.08361148834228516,1.3844513893127441
1,10,6.516073942184448,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,5.050910711288452,1.5341856479644775,1.4651291370391846,1.8880486488342285,0.11421751976013184,0.0831747055053711,1.3859310150146484
1,11,4.8428614139556885,0.0,0.8999999761581421,0.699999988079071,0.5,0.20000000298023224,3.5204176902770996,1.2960758209228516,1.3224115371704102,0.6007294654846191,0.11387228965759277,0.08309316635131836,1.3827028274536133
1,12,4.851712465286255,0.0,0.8999999761581421,0.699999988079071,0.5,0.20000000298023224,3.532059669494629,1.3085980415344238,1.3196156024932861,0.6026961803436279,0.1143190860748291,0.08266568183898926,1.379805326461792
1,13,6.312277555465698,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,4.920854091644287,1.5426514148712158,1.3913848400115967,1.7483651638031006,0.11596417427062988,0.08333730697631836,1.385565996170044
1,14,6.435879468917847,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,5.087346792221069,1.5354902744293213,1.3484985828399658,1.92515230178833,0.11613821983337402,0.08318233489990234,1.3820829391479492
1,15,6.272711277008057,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,4.915168762207031,1.5334572792053223,1.35750412940979,1.752446174621582,0.11519813537597656,0.08326244354248047,1.3855299949645996
1,16,6.413625240325928,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,5.05486536026001,1.5388352870941162,1.358727216720581,1.8884830474853516,0.11506986618041992,0.08372116088867188,1.3832612037658691
