k,sample,time,best_ll,theta_0,theta_1,theta_2,theta_3
16,4,227.39,-1116683.8997,0.893,0.4213,0.406,0.3328
16,5,231.69,-1119509.1437,0.8968,0.4306,0.4152,0.3387
16,6,238.73,-1121381.4872,0.8896,0.4374,0.4212,0.3308
16,7,238.48,-1123236.9128,0.8774,0.4352,0.4195,0.3219
16,8,236.84,-1123609.3012,0.8875,0.4392,0.423,0.3313
16,9,239.63,-1121949.1974,0.8883,0.4374,0.4212,0.3307
16,10,231.63,-1119784.5445,0.8927,0.4331,0.4156,0.3347
16,11,233.81,-1121593.2218,0.8895,0.4357,0.4203,0.3325
16,12,234.42,-1121525.9749,0.8914,0.4347,0.4185,0.3349
16,13,229.53,-1119176.6713,0.8943,0.4309,0.4144,0.3365
16,14,235.51,-1121827.8673,0.8817,0.4323,0.4163,0.3234
16,15,236.82,-1121941.6689,0.8899,0.4365,0.4202,0.3334
16,16,227.93,-1117714.3061,0.892,0.4215,0.4052,0.3338
16,17,237.39,-1121365.4718,0.8899,0.4384,0.4224,0.3308
16,18,236.48,-1122339.7065,0.8862,0.4383,0.4225,0.3292
16,19,235.56,-1122489.3498,0.888,0.438,0.4209,0.3313
16,20,228.61,-1118233.8838,0.898,0.4291,0.4128,0.3391
16,21,233.37,-1118749.2957,0.889,0.425,0.4103,0.3297
16,22,241.93,-1122198.4912,0.8863,0.4392,0.4228,0.3285
16,23,239.41,-1123659.0805,0.8761,0.4356,0.4206,0.3185
16,24,212.88,-1123612.6311,0.8892,0.4373,0.4225,0.3344
16,25,209.89,-1121543.884,0.8935,0.436,0.4201,0.3346
16,26,213.06,-1121665.8641,0.8894,0.4348,0.4189,0.3333
16,27,209.39,-1120486.5323,0.8906,0.4332,0.4184,0.3326
16,28,210.93,-1121345.1942,0.8878,0.4372,0.4205,0.3298
16,29,211.85,-1123242.5954,0.8878,0.4384,0.4228,0.3325
16,30,210.45,-1121039.461,0.8879,0.4367,0.4215,0.3297
17,1,309.38,-2463336.0408,0.8647,0.4472,0.4306,0.3121
17,2,307.05,-2460956.4422,0.8752,0.4482,0.4326,0.3206
17,3,307.9,-2462323.005,0.8736,0.4486,0.4324,0.3209
17,4,306.58,-2465914.0914,0.8751,0.4531,0.4368,0.3214
17,5,308.38,-2462634.7997,0.8707,0.4518,0.4362,0.3168
17,6,306.72,-2460115.4898,0.8758,0.4484,0.4317,0.3216
17,7,310.35,-2465724.3178,0.8734,0.4554,0.4382,0.3182
17,8,309.99,-2463625.6102,0.8709,0.4512,0.4351,0.3182
17,9,307.1,-2460738.3511,0.8759,0.4482,0.4316,0.321
17,10,306.07,-2464034.2183,0.8702,0.4521,0.4351,0.3179
17,11,306.68,-2461546.0003,0.8721,0.4522,0.4352,0.317
17,12,310.67,-2464938.7982,0.8708,0.4549,0.4383,0.3167
17,13,305.25,-2461838.8202,0.8736,0.4493,0.4334,0.319
17,14,308.82,-2460721.3466,0.8752,0.4479,0.4318,0.3209
17,15,310.51,-2461342.8018,0.869,0.4422,0.4263,0.3154
17,16,309.91,-2461253.1907,0.8731,0.4497,0.4337,0.319
17,17,304.88,-2457774.5525,0.8725,0.4403,0.4236,0.3166
17,18,308.93,-2462900.5379,0.8707,0.4513,0.4365,0.3169
17,19,308.28,-2462720.7226,0.8719,0.4504,0.4345,0.3183
17,20,308.61,-2462735.1595,0.8709,0.4509,0.4355,0.317
17,21,308.39,-2462859.152,0.8719,0.451,0.4346,0.318
17,22,307.42,-2462569.7341,0.8663,0.4457,0.4293,0.3118
17,23,279.89,-2463931.0276,0.8732,0.4522,0.4364,0.319
17,24,280.04,-2460332.4777,0.8693,0.4423,0.4265,0.3152
17,25,281.79,-2460625.4644,0.8759,0.4493,0.4328,0.3206
17,26,283.81,-2462791.2941,0.8724,0.4488,0.4337,0.3195
17,27,280.96,-2462610.3947,0.8722,0.4505,0.4347,0.3191
17,28,282.87,-2462608.9143,0.8715,0.4524,0.4361,0.3165
17,29,281.01,-2461718.5188,0.8721,0.4507,0.4338,0.3181
17,30,282.71,-2462874.6958,0.8734,0.4528,0.4362,0.3183
18,1,442.13,-5385016.6762,0.858,0.4624,0.4459,0.3096
18,2,447.51,-5388453.5343,0.8562,0.4634,0.4477,0.3083
18,3,444.64,-5388706.7325,0.8554,0.4639,0.4478,0.308
18,4,440.46,-5387248.3909,0.8562,0.4641,0.4475,0.3077
18,5,446.17,-5388271.1906,0.8562,0.464,0.4476,0.308
18,6,442.34,-5388860.7281,0.8564,0.4634,0.4473,0.309
18,7,443.58,-5386843.599,0.857,0.463,0.4468,0.3089
18,8,443.9,-5389704.472,0.8567,0.4638,0.4476,0.3093
18,9,444.82,-5391677.9079,0.8592,0.4642,0.4478,0.3111
18,10,442.27,-5386454.1408,0.8578,0.4624,0.4456,0.3096
18,11,439.85,-5388061.4933,0.8556,0.4641,0.4479,0.3074
18,12,441.65,-5385459.2536,0.8577,0.4622,0.446,0.3092
18,13,442.69,-5387962.3883,0.8563,0.4639,0.4473,0.3084
18,14,442.5,-5386945.3827,0.8567,0.4629,0.4466,0.309
18,15,444.08,-5387375.2812,0.8587,0.4612,0.4453,0.3111
18,16,447.95,-5388234.3619,0.8565,0.4642,0.4477,0.3085
18,17,442.3,-5387112.6232,0.8576,0.4619,0.4463,0.3098
18,18,447.06,-5387162.2744,0.8554,0.4641,0.4483,0.3072
18,19,448.58,-5388534.8905,0.856,0.4638,0.4471,0.3085
18,20,399.91,-5385384.9702,0.857,0.4621,0.4461,0.3095
18,21,405.35,-5386996.1952,0.8565,0.4635,0.4469,0.3082
18,22,405.62,-5392098.9041,0.8596,0.4635,0.4478,0.3123
18,23,408.03,-5388898.5643,0.8556,0.4642,0.4481,0.3077
18,24,406.04,-5387924.0172,0.8559,0.4641,0.4474,0.3078
18,25,409.77,-5386598.2455,0.8568,0.4637,0.4478,0.3082
18,26,400.23,-5390079.6425,0.8554,0.4635,0.4473,0.3087
18,27,396.9,-5389261.4947,0.8559,0.4636,0.4473,0.3085
19,1,698.54,-11770389.8799,0.84,0.4733,0.4575,0.3046
19,2,699.77,-11770278.6603,0.8403,0.4733,0.4578,0.305
19,3,706.77,-11769658.8361,0.8394,0.4737,0.4577,0.3038
19,4,695.4,-11771159.8107,0.8392,0.4742,0.4584,0.304
19,5,703.73,-11767967.4452,0.8398,0.4732,0.4575,0.3041
19,6,705.88,-11770099.8483,0.8396,0.4743,0.4584,0.3041
19,7,710.85,-11767978.1324,0.8406,0.4735,0.4578,0.3048
19,8,716.43,-11769768.8915,0.8395,0.4732,0.4571,0.3046
19,9,704.65,-11772399.1307,0.8394,0.4736,0.458,0.3045
19,10,706.27,-11770016.5216,0.8388,0.4741,0.4582,0.3038
19,11,704.62,-11770057.4528,0.8395,0.473,0.4576,0.3046
19,12,693.62,-11767642.6348,0.8397,0.473,0.4578,0.3044
19,13,693.76,-11771561.0648,0.8395,0.4726,0.4569,0.3051
19,14,693.74,-11768300.8886,0.8392,0.4734,0.4574,0.3037
19,15,694.7,-11771798.0422,0.839,0.4744,0.4587,0.3036
19,16,691.31,-11768756.7759,0.8396,0.4733,0.4572,0.3044
19,17,707.26,-11771636.0958,0.8396,0.4729,0.4573,0.3054
19,18,708.83,-11772205.2946,0.8394,0.4742,0.4587,0.3042
19,19,693.45,-11776255.8552,0.8385,0.4739,0.4587,0.3046
19,20,694.26,-11770124.0441,0.8386,0.4743,0.4584,0.3038
19,21,699.4,-11771056.3783,0.8382,0.4744,0.4583,0.3033
19,22,693.13,-11775092.8301,0.8386,0.4732,0.4577,0.3049
19,23,696.68,-11775688.223,0.8391,0.4742,0.4584,0.3046
19,24,687.94,-11770892.7892,0.8393,0.4728,0.4574,0.3047
20,1,1242.93,-25710418.1402,0.8202,0.4809,0.4666,0.3085
20,2,1238.35,-25713466.7468,0.8193,0.4815,0.467,0.3077
20,3,1249.86,-25717931.907,0.8186,0.4812,0.4666,0.3078
20,4,1244.09,-25714551.2642,0.8195,0.4816,0.4668,0.3075
20,5,1247.99,-25719832.611,0.8177,0.4817,0.4673,0.3075
20,6,1251.92,-25706946.1793,0.8205,0.4805,0.4657,0.3082
20,7,1242.1,-25712899.398,0.8195,0.4811,0.4667,0.3077
20,8,1242.44,-25711854.3299,0.8193,0.4811,0.4669,0.3075
20,9,1223.69,-25713601.8411,0.819,0.4819,0.4672,0.307
20,10,1223.49,-25706482.5533,0.8198,0.4818,0.4673,0.3069
20,11,1235.78,-25707094.6295,0.8203,0.4809,0.4662,0.3077
20,12,1275.34,-25712823.1745,0.8193,0.4814,0.467,0.3072
20,13,1218.94,-25708762.4489,0.8187,0.4826,0.4677,0.3064
20,14,1260.18,-25712399.6893,0.8194,0.4814,0.467,0.3076
20,15,1240.53,-25707844.321,0.82,0.4814,0.4668,0.3071
20,16,1232.72,-25704816.4603,0.82,0.4814,0.4668,0.3073
20,17,1222.2,-25714130.2553,0.8183,0.4823,0.4675,0.3069
20,18,1225.05,-25714039.3699,0.8191,0.4813,0.4669,0.3076
20,19,1208.88,-25706612.0472,0.8205,0.481,0.4665,0.308
