k,sample,time,best_ll,theta_0,theta_1,theta_2,theta_3
5,1,83.66,-138.1132,0.9999,0.4349,0.4666,0.1958
5,2,73.52,-167.1586,0.9999,0.4792,0.6093,0.1369
5,3,44.75,-111.8707,0.9999,0.4873,0.5801,0.0336
5,4,54.41,-119.2472,0.9999,0.5156,0.5722,0.0564
5,5,37.11,-116.1763,0.9948,0.6264,0.5825,0.0001
5,6,104.08,-153.3377,0.9999,0.4268,0.5376,0.1993
5,7,48.29,-146.1413,0.9865,0.5616,0.6773,0.0373
5,8,61.45,-153.4756,0.9651,0.4918,0.6154,0.1104
5,9,75.57,-146.4006,0.9999,0.4279,0.5581,0.1683
5,10,44.34,-124.1592,0.9999,0.5031,0.5936,0.0547
5,11,71.92,-111.0373,0.9999,0.4574,0.456,0.1278
5,12,84.63,-149.2122,0.9663,0.4954,0.458,0.2181
5,13,65.69,-134.4572,0.9999,0.5515,0.5076,0.1066
5,14,71.25,-118.0114,0.9999,0.4247,0.4988,0.1325
5,15,81.24,-145.7836,0.9999,0.4567,0.4964,0.1785
5,16,40.13,-84.7571,0.9999,0.4692,0.5486,0.0051
5,17,57.48,-131.8041,0.9999,0.5367,0.54,0.0799
5,18,75.75,-134.6848,0.9999,0.4762,0.5276,0.1285
5,19,64.3,-169.2374,0.9827,0.5141,0.6086,0.1276
5,20,62.4,-127.2348,0.9999,0.4733,0.5486,0.0937
5,21,69.8,-120.0911,0.9999,0.4103,0.4963,0.1386
5,22,83.28,-170.8815,0.9576,0.4512,0.5763,0.2021
5,23,74.97,-185.7814,0.9999,0.5932,0.5411,0.1774
5,24,67.89,-143.5023,0.9999,0.5402,0.5144,0.1243
5,25,64.14,-135.9697,0.9999,0.5009,0.5294,0.1199
5,26,86.33,-125.2221,0.9999,0.3635,0.4965,0.2063
5,27,41.4,-97.3658,0.9999,0.5565,0.5325,0.0077
5,28,71.82,-137.8843,0.9999,0.4724,0.5189,0.1378
5,29,46.77,-123.3612,0.9623,0.5431,0.5833,0.0418
5,30,41.79,-97.3189,0.9999,0.5038,0.5339,0.0099
6,1,47.9,-28.0829,0.9735,0.5046,0.3607,0.0001
6,2,48.84,-23.3107,0.9029,0.6798,0.6812,0.0991
6,3,54.04,-30.1737,0.9948,0.4349,0.4448,0.0001
6,4,55.6,-14.7545,0.9999,0.5821,0.677,0.0001
6,5,35.09,-17.7319,0.7771,0.8428,0.7901,0.0001
6,6,44.29,-17.2182,0.9999,0.7487,0.6832,0.0001
6,7,48.78,-25.7605,0.9999,0.4446,0.3969,0.0001
6,8,45.95,-27.0211,0.9999,0.3947,0.4399,0.0001
6,9,42.11,-17.1733,0.9999,0.698,0.7349,0.0001
6,10,46.5,-27.3733,0.9999,0.4208,0.42,0.0001
6,11,46.26,-22.8725,0.9607,0.5937,0.7415,0.0692
6,12,35.14,-17.2973,0.9917,0.7581,0.6678,0.0001
6,13,50.12,-26.5137,0.9999,0.4014,0.4469,0.0001
6,14,42.54,-17.7712,0.8275,0.7087,0.8008,0.0001
6,15,46.9,-22.3998,0.9192,0.7175,0.5919,0.086
6,16,36.23,-16.5313,0.9999,0.7103,0.7107,0.0001
6,17,44.76,-27.1703,0.9999,0.4417,0.3946,0.0001
6,18,34.82,-17.983,0.8565,0.7132,0.8359,0.0001
6,19,34.47,-18.2262,0.9485,0.8343,0.638,0.0001
6,20,50.42,-27.7886,0.9999,0.3657,0.4915,0.0001
6,21,48.91,-25.6319,0.9999,0.3865,0.4324,0.0001
6,22,49.48,-15.304,0.9999,0.6463,0.7186,0.0001
6,23,53.03,-23.9716,0.9999,0.4126,0.42,0.0001
6,24,50.37,-22.42,0.8887,0.7168,0.6966,0.0702
6,25,54.28,-29.3631,0.9832,0.4259,0.487,0.0001
6,26,59.1,-20.571,0.9999,0.5377,0.6864,0.0785
6,27,48.33,-26.5747,0.9999,0.3425,0.4858,0.0001
6,28,51.57,-25.9723,0.9999,0.4885,0.3424,0.0001
6,29,53.09,-25.7333,0.9999,0.4197,0.4226,0.0001
6,30,54.86,-28.5775,0.9999,0.3913,0.4897,0.0001
7,1,43.71,-195.554,0.9638,0.4974,0.5536,0.0001
7,2,45.1,-193.0161,0.9999,0.5041,0.5069,0.0053
7,3,44.91,-203.4587,0.9832,0.4744,0.5177,0.0142
7,4,44.9,-194.7318,0.9926,0.5058,0.4965,0.0001
7,5,51.12,-214.9269,0.9952,0.5171,0.4789,0.0338
7,6,50.43,-198.2152,0.9999,0.489,0.4814,0.0304
7,7,50.85,-201.6684,0.9942,0.4924,0.4737,0.0284
7,8,51.4,-206.8928,0.9999,0.5159,0.4654,0.0314
7,9,45.25,-194.1332,0.9952,0.5261,0.5069,0.0001
7,10,44.12,-192.0688,0.9087,0.5245,0.5312,0.0001
7,11,46.44,-191.1851,0.9948,0.5038,0.4966,0.0001
7,12,44.4,-188.2155,0.9999,0.4784,0.5281,0.0001
7,13,51.02,-195.2349,0.9999,0.4902,0.4802,0.0124
7,14,50.19,-204.0654,0.9999,0.4654,0.5096,0.0255
7,15,44.36,-196.2054,0.9592,0.471,0.5221,0.0049
7,16,49.37,-200.5348,0.9946,0.4895,0.4731,0.0194
7,17,52.56,-195.0057,0.9999,0.4636,0.5092,0.0051
7,18,47.18,-189.0335,0.9999,0.4849,0.5117,0.0023
7,19,53.5,-205.2145,0.9999,0.4514,0.5192,0.0285
7,20,45.18,-193.0966,0.9647,0.4574,0.5344,0.0001
7,21,46.0,-189.5052,0.9684,0.5016,0.5097,0.0001
7,22,45.82,-189.1268,0.9765,0.5117,0.4711,0.0001
7,23,46.15,-196.4576,0.9558,0.5104,0.5242,0.0001
