k,sample,total_time,best_ll,P00,P01,P10,P11,full_fit,gradient_gpu,init_cpu_gpu,mcmc_cpu,optimizer_gpu,transfer_pcie,warm_up_mcmc_cpu
1,1,6.220013856887817,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,4.951423406600952,1.5449042320251465,1.2685551643371582,1.7832837104797363,0.1164236068725586,0.08270955085754395,1.3812212944030762
1,2,5.753101348876953,-0.0004000663757324219,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,0.9998999834060669,4.4713451862335205,1.701221227645874,1.281698226928711,1.0931792259216309,0.13814234733581543,0.08372735977172852,1.3899908065795898
1,3,5.815962553024292,-0.0004000663757324219,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,0.9998999834060669,4.45896577835083,1.6980154514312744,1.3569459915161133,1.0920794010162354,0.13600826263427734,0.08256101608276367,1.3848013877868652
1,4,6.267460584640503,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,5.014385938644409,1.519378900527954,1.2530415058135986,1.8876562118530273,0.1136474609375,0.07946014404296875,1.3720972537994385
1,5,6.3315393924713135,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,5.027709484100342,1.5302314758300781,1.3037939071655273,1.8656284809112549,0.11472511291503906,0.07987117767333984,1.3951442241668701
1,6,6.265418529510498,-0.0004000663757324219,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,9.999999747378752e-05,4.9635279178619385,1.5236520767211914,1.3018512725830078,1.8169944286346436,0.11574721336364746,0.07963371276855469,1.3843390941619873
1,7,6.3603949546813965,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,5.03988790512085,1.552398443222046,1.3204686641693115,1.8640697002410889,0.11571311950683594,0.07985663414001465,1.385004997253418
1,8,5.1573474407196045,0.0,0.8999999761581421,0.699999988079071,0.5,0.20000000298023224,3.691636323928833,1.2974510192871094,1.4656713008880615,0.5982887744903564,0.11489009857177734,0.07877230644226074,1.5619392395019531
1,9,6.234748125076294,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,4.916576147079468,1.5189788341522217,1.3181300163269043,1.787642240524292,0.1165626049041748,0.07899236679077148,1.3728201389312744
1,10,4.761554956436157,0.0,0.8999999761581421,0.699999988079071,0.5,0.20000000298023224,3.50366473197937,1.2870581150054932,1.2578575611114502,0.6009273529052734,0.11557149887084961,0.07990598678588867,1.378781795501709
1,11,4.942931652069092,0.0,0.8999999761581421,0.699999988079071,0.5,0.20000000298023224,3.5199384689331055,1.2998042106628418,1.4229605197906494,0.5987045764923096,0.11672425270080566,0.08037137985229492,1.3825626373291016
1,12,6.303518056869507,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,5.022400856018066,1.5284602642059326,1.2810776233673096,1.86625075340271,0.11600708961486816,0.08031892776489258,1.387789249420166
1,13,6.279625177383423,-0.0004000663757324219,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,9.999999747378752e-05,4.965348243713379,1.522273302078247,1.3142411708831787,1.8187768459320068,0.11613917350769043,0.08098578453063965,1.384352684020996
1,14,6.348796129226685,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,5.030248165130615,1.535994529724121,1.318507194519043,1.872025728225708,0.1143491268157959,0.07972216606140137,1.3853363990783691
1,15,4.818499326705933,0.0,0.8999999761581421,0.699999988079071,0.5,0.20000000298023224,3.503678321838379,1.2879903316497803,1.3147892951965332,0.6023070812225342,0.11375045776367188,0.07872939109802246,1.3803975582122803
1,16,14.635977029800415,-0.0004000663757324219,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,9.999999747378752e-05,9.961406469345093,3.1068153381347656,4.67446494102478,2.814152240753174,0.22952842712402344,0.14003849029541016,3.5907437801361084
1,17,14.78562045097351,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,10.178383111953735,3.1224098205566406,4.607133865356445,3.0345444679260254,0.23300862312316895,0.14362692832946777,3.5630781650543213
1,18,12.174912452697754,0.0,0.8999999761581421,0.699999988079071,0.5,0.20000000298023224,7.503580331802368,2.5927512645721436,4.671231269836426,0.9124958515167236,0.22843313217163086,0.1355586051940918,3.560298204421997
1,19,14.580616235733032,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,10.124561786651611,3.087477207183838,4.455930948257446,3.0297980308532715,0.23020696640014648,0.1416947841644287,3.552954912185669
1,20,14.379622220993042,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,9.966281175613403,3.1319313049316406,4.413238763809204,2.7856736183166504,0.2338395118713379,0.14579987525939941,3.5879032611846924
1,21,14.732846736907959,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,10.274543046951294,3.1330323219299316,4.458182096481323,3.0387463569641113,0.2342522144317627,0.14767694473266602,3.6367554664611816
1,22,14.427950620651245,-0.0004000663757324219,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,9.999999747378752e-05,10.010981559753418,3.1394262313842773,4.416866064071655,2.817918539047241,0.23186707496643066,0.14367961883544922,3.596052408218384
1,23,14.449155807495117,-0.0004000663757324219,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,9.999999747378752e-05,9.936837196350098,3.1126511096954346,4.512206554412842,2.8091886043548584,0.23106050491333008,0.14157700538635254,3.56083607673645
1,24,14.405503988265991,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,10.150647640228271,3.1005208492279053,4.254746675491333,3.0245916843414307,0.2295856475830078,0.1445636749267578,3.569469451904297
1,25,14.443787813186646,-0.0004000663757324219,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,9.999999747378752e-05,9.92983078956604,3.1109654903411865,4.513841867446899,2.8144242763519287,0.23070693016052246,0.14153552055358887,3.551807403564453
1,26,15.154476404190063,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,10.236664295196533,3.1409912109375,4.917689085006714,3.0300168991088867,0.23567748069763184,0.14875221252441406,3.5975711345672607
1,27,13.290202856063843,-0.0004000663757324219,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,0.9998999834060669,8.684475183486938,3.140327215194702,4.605606317520142,1.4580087661743164,0.2345566749572754,0.1449885368347168,3.6232104301452637
1,28,14.556187391281128,-0.0004000663757324219,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,9.999999747378752e-05,10.005532503128052,3.1531620025634766,4.550531387329102,2.8099253177642822,0.23479557037353516,0.1448078155517578,3.5800533294677734
1,29,14.580575227737427,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,10.013569116592407,3.128145456314087,4.566888093948364,2.775157928466797,0.23535513877868652,0.14476871490478516,3.6470489501953125
1,30,12.277051448822021,0.0,0.8999999761581421,0.699999988079071,0.5,0.20000000298023224,7.677543640136719,2.7171225547790527,4.59940505027771,0.9500842094421387,0.22669005393981934,0.13933134078979492,3.5674209594726562
2,1,7.804771184921265,-5.769886016845703,0.9998999834060669,0.28251439332962036,0.6218562722206116,0.2714228332042694,6.520798683166504,1.6842381954193115,1.283937931060791,3.2163617610931396,0.1151876449584961,0.08163881301879883,1.3805618286132812
2,3,8.732608795166016,-6.870577812194824,0.9998999834060669,0.9998999834060669,0.9998999834060669,0.32367485761642456,7.433039903640747,1.6841466426849365,1.2995257377624512,4.123227119445801,0.11510324478149414,0.08127903938293457,1.386894702911377
2,4,7.472575664520264,-4.838961124420166,0.9998999834060669,0.5452104210853577,0.5451909303665161,9.999999747378752e-05,6.109643936157227,1.6766777038574219,1.3628911972045898,2.80473256111145,0.11547136306762695,0.0803976058959961,1.3893327713012695
