k,sample,total_time,best_ll,P00,P01,P10,P11,full_fit,gradient_gpu,init_cpu_gpu,mcmc_cpu,optimizer_gpu,transfer_pcie,warm_up_mcmc_cpu
1,16,14.593599557876587,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,9.931946516036987,3.118265390396118,4.661529541015625,2.7754950523376465,0.2306346893310547,0.14546728134155273,3.5810275077819824
1,17,12.31163239479065,0.0,0.8999999761581421,0.699999988079071,0.5,0.20000000298023224,7.670103549957275,2.6421024799346924,4.641406297683716,0.9133775234222412,0.22948575019836426,0.13785409927368164,3.6690330505371094
1,18,14.610101222991943,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,9.983352422714233,3.1070992946624756,4.626631259918213,2.7656753063201904,0.23527836799621582,0.1432628631591797,3.6499781608581543
1,19,12.318895101547241,0.0,0.8999999761581421,0.699999988079071,0.5,0.20000000298023224,7.619894981384277,2.6624159812927246,4.6989052295684814,0.9317693710327148,0.229597806930542,0.13918256759643555,3.5787415504455566
1,20,14.574073076248169,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,9.916361808776855,3.0851738452911377,4.657593011856079,2.764242172241211,0.22994494438171387,0.1407790184020996,3.615438938140869
1,21,12.275294065475464,0.0,0.8999999761581421,0.699999988079071,0.5,0.20000000298023224,7.691250562667847,2.6433892250061035,4.583940267562866,0.9325432777404785,0.23032832145690918,0.13790130615234375,3.670013904571533
1,22,14.5569589138031,-0.0004000663757324219,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,9.999999747378752e-05,9.937244176864624,3.079021692276001,4.619585275650024,2.8065433502197266,0.2315216064453125,0.14238858222961426,3.5978357791900635
1,23,14.54819130897522,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,9.877414464950562,3.0935609340667725,4.670663833618164,2.7640442848205566,0.23333096504211426,0.1408078670501709,3.5653693675994873
1,24,14.545921087265015,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,9.932473421096802,3.1197988986968994,4.613351106643677,2.765342950820923,0.23313069343566895,0.14320683479309082,3.5901710987091064
1,25,12.284497499465942,0.0,0.8999999761581421,0.699999988079071,0.5,0.20000000298023224,7.692790746688843,2.673962116241455,4.591615915298462,0.9107687473297119,0.22871947288513184,0.13815879821777344,3.664381265640259
1,26,14.799707889556885,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,10.184668779373169,3.085648775100708,4.614922046661377,3.0417206287384033,0.23346161842346191,0.14390897750854492,3.5987961292266846
1,27,14.627339124679565,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,9.995259284973145,3.149320602416992,4.631979703903198,2.776099681854248,0.2314927577972412,0.14497756958007812,3.6112964153289795
1,28,12.197332620620728,0.0,0.8999999761581421,0.699999988079071,0.5,0.20000000298023224,7.615387439727783,2.619419813156128,4.581848859786987,0.9506762027740479,0.22853636741638184,0.13848161697387695,3.602766752243042
1,29,12.304007291793823,0.0,0.8999999761581421,0.699999988079071,0.5,0.20000000298023224,7.652742624282837,2.6593270301818848,4.651163816452026,0.9536726474761963,0.23012757301330566,0.14086055755615234,3.590970277786255
1,30,14.818989276885986,-0.0004000663757324219,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,9.999999747378752e-05,10.073884963989258,3.16318941116333,4.744951486587524,2.819032669067383,0.23272418975830078,0.14577388763427734,3.629668712615967
