k,sample,time,theta_0,theta_1,theta_2,theta_3
1,1,153.07775855064392,0.9998999834060669,0.12679530680179596,0.975431501865387,9.999999747378752e-05
1,2,145.45673274993896,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05
1,4,147.1983666419983,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05
1,5,146.88259053230286,0.9998999834060669,0.1060297042131424,0.9943719506263733,9.999999747378752e-05
1,6,145.52858233451843,0.9998999834060669,0.1064070612192154,0.969571053981781,9.999999747378752e-05
1,7,143.662202835083,0.9998999834060669,0.1060297042131424,0.9943719506263733,9.999999747378752e-05
1,8,186.19148516654968,0.9998999834060669,0.9998999834060669,0.9998999834060669,9.999999747378752e-05
1,9,146.13668155670166,0.9998999834060669,0.10635703802108765,0.9710789322853088,9.999999747378752e-05
1,11,145.39535307884216,0.9998999834060669,0.11729538440704346,0.9623256325721741,9.999999747378752e-05
1,12,179.1990783214569,0.9998999834060669,0.9998999834060669,0.9998999834060669,9.999999747378752e-05
1,13,146.2631058692932,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05
1,14,145.54203510284424,0.9998999834060669,0.11767400801181793,0.9615062475204468,9.999999747378752e-05
1,15,181.33964085578918,0.9998999834060669,0.9998999834060669,0.9998999834060669,9.999999747378752e-05
1,16,178.04327487945557,0.9998999834060669,0.9998999834060669,0.9998999834060669,9.999999747378752e-05
1,18,176.46166586875916,0.9998999834060669,0.9998999834060669,0.9998999834060669,9.999999747378752e-05
1,19,147.19635701179504,0.9998999834060669,0.12712156772613525,0.9750288128852844,9.999999747378752e-05
1,20,146.0525722503662,0.9998999834060669,0.10621154308319092,0.976097583770752,9.999999747378752e-05
1,21,229.89289951324463,9.999999747378752e-05,0.6929649114608765,0.2533785402774811,9.999999747378752e-05
1,22,176.6607310771942,0.9998999834060669,0.9998999834060669,0.9998999834060669,9.999999747378752e-05
1,23,177.35356330871582,0.9998999834060669,0.9998999834060669,0.9998999834060669,9.999999747378752e-05
1,24,144.5345435142517,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05
1,25,147.33718347549438,0.9998999834060669,0.10630781203508377,0.9726608991622925,9.999999747378752e-05
