k,s,total_time_seconds,best_log_likelihood,P00,P01,P10,P11,full_fit,gradient_gpu,init_cpu_gpu,mcmc_cpu,optimizer_gpu,peak_vram_mb,transfer_pcie,warm_up_mcmc_cpu
1,1,1.6381046772003174,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,1.6372332572937012,0.7406272888183594,0.0008389949798583984,0.8141279220581055,0.04266023635864258,0.0,0.026499509811401367,0.0008764266967773438
1,2,1.6760363578796387,-0.0004000663757324219,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,9.999999747378752e-05,1.6752796173095703,0.7405433654785156,0.0007219314575195312,0.852339506149292,0.04284954071044922,0.0,0.026355504989624023,0.0009198188781738281
1,3,0.9784059524536133,0.0,0.8999999761581421,0.699999988079071,0.5,0.20000000298023224,0.9776155948638916,0.6577334403991699,0.0007576942443847656,0.2405257225036621,0.040665388107299805,0.0,0.026556968688964844,0.0002574920654296875
2,1,2.3091413974761963,-5.530352592468262,0.9998999834060669,0.7420374155044556,0.48181357979774475,9.999999747378752e-05,2.30835223197937,0.8139355182647705,0.0007643699645996094,1.4093563556671143,0.043711185455322266,0.0,0.02736830711364746,0.0015826225280761719
2,2,2.3674123287200928,-4.838961601257324,0.9998999834060669,0.5451024174690247,0.5451053977012634,9.999999747378752e-05,2.3665852546691895,0.8131544589996338,0.0008006095886230469,1.4686760902404785,0.043131113052368164,0.0,0.027504444122314453,0.0016355514526367188
2,3,1.631835699081421,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,1.6310627460479736,0.7371606826782227,0.0007405281066894531,0.8107235431671143,0.043297767639160156,0.0,0.026564836502075195,0.0008871555328369141
3,1,4.41900110244751,-20.82086315155029,0.9998999834060669,0.5811619162559509,0.7750248908996582,0.06135692447423935,4.4181036949157715,0.8660390377044678,0.0008668899536132812,3.465409278869629,0.043015241622924805,0.0,0.02709650993347168,0.004130125045776367
3,2,3.538182497024536,-15.328821182250977,0.9998999834060669,0.5043503046035767,0.7473222017288208,9.999999747378752e-05,3.537254810333252,0.8633677959442139,0.0009038448333740234,2.5865671634674072,0.04470229148864746,0.0,0.026548385620117188,0.003567934036254883
3,3,4.759750127792358,-17.602107810974122,0.9998999834060669,0.2834431529045105,0.9998999834060669,0.11616707593202591,4.758941888809204,0.8653512001037598,0.0007853507995605469,3.807915687561035,0.04263877868652344,0.0,0.02668023109436035,0.004190206527709961
4,1,8.052980184555054,-75.35884017944336,0.8159183263778687,0.8621737957000732,0.6337430477142334,0.13532909750938416,8.05202603340149,0.9324300289154053,0.0009303092956542969,7.027674436569214,0.044080495834350586,0.0,0.02767491340637207,0.007699489593505859
4,2,7.606437683105469,-66.04253616333008,0.9557183384895325,0.6079279184341431,0.6250262260437012,0.10599970817565918,7.605533599853516,0.937669038772583,0.0008776187896728516,6.574965000152588,0.0449070930480957,0.0,0.02870345115661621,0.006665468215942383
4,3,6.385762929916382,-69.2468650817871,0.9998999834060669,0.6409342288970947,0.2207610011100769,0.43860840797424316,6.384734153747559,0.925708532333374,0.0010044574737548828,5.3702991008758545,0.04306936264038086,0.0,0.027621984481811523,0.00574183464050293
5,1,12.24526834487915,-198.0834503173828,0.9998999834060669,0.6221132874488831,0.604114830493927,0.1459791213274002,12.24409818649292,0.9923391342163086,0.0011467933654785156,11.156758785247803,0.04347872734069824,0.0,0.027318954467773438,0.011788606643676758
5,2,12.806701898574829,-165.43313598632812,0.9998999834060669,0.7461243867874146,0.531806468963623,0.07371257245540619,12.805498600006104,0.9927833080291748,0.0011768341064453125,11.716540813446045,0.043662309646606445,0.0,0.02740478515625,0.012695074081420898
5,3,11.740407466888428,-163.97622985839843,0.9998999834060669,0.5624726414680481,0.6317873597145081,0.09674417227506638,11.739302158355713,1.001277208328247,0.0010819435119628906,10.640956163406372,0.04532313346862793,0.0,0.027768611907958984,0.011001348495483398
6,1,4.698076009750366,-28.10974464416504,0.9998999834060669,0.39669281244277954,0.46522170305252075,9.999999747378752e-05,4.697239875793457,0.9467153549194336,0.0008120536804199219,3.6625778675079346,0.042760372161865234,0.0,0.027897357940673828,0.004967212677001953
6,2,4.496898889541626,-16.92918701171875,0.8443095684051514,0.9076185822486877,0.596985936164856,9.999999747378752e-05,4.495997905731201,0.8786699771881104,0.0008771419525146484,3.530662775039673,0.04271221160888672,0.0,0.027040719985961914,0.004636526107788086
6,3,4.972385883331299,-34.79721870422363,0.8459933400154114,0.43016517162323,0.4881640374660492,0.05557730048894882,4.971550226211548,0.9387211799621582,0.0008132457733154297,3.9467010498046875,0.042053937911987305,0.0,0.027772188186645508,0.004290103912353516
7,1,14.262718439102173,-265.85862121582034,0.9562163352966309,0.6451889872550964,0.46329107880592346,0.02935609221458435,14.261364221572876,1.0788469314575195,0.0013287067413330078,13.08384084701538,0.04421544075012207,0.0,0.027882099151611328,0.014137983322143555
7,2,14.187620878219604,-264.4844970703125,0.9949319362640381,0.6541993021965027,0.4253951609134674,0.04784097149968147,14.186338901519775,1.0747387409210205,0.0012583732604980469,13.014457941055298,0.043350934982299805,0.0,0.02772665023803711,0.013751506805419922
7,3,14.438664197921753,-250.6105758666992,0.9499852061271667,0.65736985206604,0.46645915508270264,0.01605764590203762,14.437383651733398,1.074014663696289,0.0012555122375488281,13.265517473220825,0.04358410835266113,0.0,0.027933359146118164,0.01392054557800293
8,1,13.382777214050293,-3447.7166015625,0.9751084446907043,0.6159883737564087,0.5924458503723145,0.18714675307273865,13.377781391143799,1.5404860973358154,0.004971027374267578,11.73047423362732,0.046903371810913086,0.0,0.03317713737487793,0.011569499969482422
8,2,13.069141149520874,-3420.018408203125,0.9679949879646301,0.6203795075416565,0.5920420289039612,0.17406244575977325,13.064164638519287,1.5314407348632812,0.004950284957885742,11.423943758010864,0.048681020736694336,0.0,0.03335762023925781,0.011705875396728516
8,3,13.159006595611572,-3410.593603515625,0.9764906167984009,0.6163469552993774,0.5852230787277222,0.18196414411067963,13.153509378433228,1.524322509765625,0.005469799041748047,11.517843961715698,0.05057382583618164,0.0,0.03410530090332031,0.011831998825073242
9,1,16.88788652420044,-8945.50634765625,0.960681140422821,0.6146675944328308,0.5916810631752014,0.19057691097259521,16.877367973327637,1.6795146465301514,0.01047372817993164,15.082377672195435,0.05050349235534668,0.0,0.03441596031188965,0.014942407608032227
9,2,17.548086881637573,-8874.15859375,0.9717391729354858,0.6199986338615417,0.5889744758605957,0.18501399457454681,17.53743839263916,1.6852765083312988,0.010619401931762695,15.737983226776123,0.049530029296875,0.0,0.03356623649597168,0.015868425369262695
9,3,17.157049655914307,-8920.8830078125,0.9728317260742188,0.6190406084060669,0.5857257843017578,0.19082011282444,17.14696192741394,1.6825616359710693,0.010056018829345703,15.348616123199463,0.05012917518615723,0.0,0.03416776657104492,0.016326904296875
10,1,28.211949825286865,-22777.11875,0.9691088199615479,0.6137300729751587,0.589219868183136,0.1930658221244812,28.188816785812378,4.130402326583862,0.02308344841003418,23.89409613609314,0.06901717185974121,0.0,0.05235576629638672,0.02242732048034668
10,2,27.77477502822876,-22811.2212890625,0.9699597358703613,0.6165528297424316,0.5800405740737915,0.19572177529335022,27.751275300979614,4.11241888999939,0.02346515655517578,23.474146842956543,0.06832170486450195,0.0,0.05252861976623535,0.023207902908325195
10,3,28.01054358482361,-22749.4501953125,0.9676240086555481,0.6181180477142334,0.5808793902397156,0.19374346733093262,27.987099170684814,4.138381004333496,0.023410797119140625,23.684813022613525,0.06867837905883789,0.0,0.052593231201171875,0.022014617919921875
11,1,43.817561864852905,-57422.03203125,0.9787325859069824,0.5998361110687256,0.5396071076393127,0.19909636676311493,43.76128673553467,6.68082857131958,0.05623674392700195,36.897685050964355,0.06811022758483887,0.0,0.05638384819030762,0.03633618354797363
11,2,43.320029735565186,-57695.569140625,0.9710888266563416,0.601565957069397,0.538580596446991,0.20124763250350952,43.26489281654358,6.756570100784302,0.055097341537475586,36.327035903930664,0.06685161590576172,0.0,0.05660080909729004,0.03620648384094238
11,3,43.417625427246094,-57589.651171875,0.9755626916885376,0.5937865972518921,0.540404736995697,0.20232680439949036,43.36405324935913,6.732435464859009,0.05352973937988281,36.45071458816528,0.06600308418273926,0.0,0.058350563049316406,0.03463149070739746
12,1,67.42685317993164,-143405.753125,0.9843372702598572,0.593477725982666,0.535323977470398,0.2049723118543625,67.3075819015503,12.530430793762207,0.11922788619995117,54.569669246673584,0.06635403633117676,0.0,0.06292366981506348,0.05561518669128418
12,2,67.18004584312439,-144459.25,0.9782268404960632,0.5918577909469604,0.5344134569168091,0.20914475619792938,66.29715824127197,12.494349718093872,0.8828384876251221,53.5968291759491,0.06606602668762207,0.0,0.06254339218139648,0.05521416664123535
12,3,66.30967736244202,-144369.16875,0.9781001806259155,0.5945883393287659,0.5330119729042053,0.20731213688850403,66.1901478767395,12.551862716674805,0.11946988105773926,53.434810400009155,0.0654149055480957,0.0,0.061972856521606445,0.0536344051361084
13,1,115.07586431503296,-355057.540625,0.9891536831855774,0.585919976234436,0.526475727558136,0.21157868206501007,114.80981469154358,37.57958388328552,0.2659912109375,76.99284505844116,0.06418991088867188,0.0,0.07051849365234375,0.08083200454711914
13,2,114.7506251335144,-355526.878125,0.9866358041763306,0.5870330929756165,0.5258603096008301,0.21263109147548676,114.48033547401428,37.57181167602539,0.2702326774597168,76.67309784889221,0.06347894668579102,0.0,0.0709688663482666,0.0791013240814209
13,3,116.07541179656982,-354877.18125,0.9921606183052063,0.5846889019012451,0.5251911282539368,0.21336209774017334,115.60422539710999,37.607463121414185,0.47113037109375,77.76037526130676,0.06343817710876465,0.0,0.069244384765625,0.0816640853881836
14,1,151.14676356315613,-886563.9,0.9953480362892151,0.5791381001472473,0.5188093185424805,0.22047407925128937,150.3081727027893,39.51179647445679,0.8385138511657715,110.48997354507446,0.06354641914367676,0.0,0.10059285163879395,0.11983227729797363
14,2,151.92473244667053,-886761.4875,0.994987428188324,0.5819889307022095,0.5207854509353638,0.22036321461200714,151.25634026527405,40.000237703323364,0.668318510055542,110.9570083618164,0.0639638900756836,0.0,0.09253430366516113,0.11983537673950195
14,3,152.4732756614685,-885769.56875,0.9973146319389343,0.5779468417167664,0.5170873999595642,0.22042256593704224,151.49064230918884,39.92027258872986,0.9825522899627686,111.26593399047852,0.06431436538696289,0.0,0.10033869743347168,0.11749005317687988
15,1,209.45303440093994,-2179038.35,0.9997020363807678,0.5764379501342773,0.5146006345748901,0.2240254133939743,207.57389616966248,48.7530791759491,1.878990650177002,158.37720942497253,0.06609249114990234,0.0,0.17429780960083008,0.17808079719543457
15,2,205.76971745491028,-2177744.4,0.9990930557250977,0.5762574672698975,0.5153385996818542,0.2229631096124649,203.5781376361847,45.18241786956787,2.1914498805999756,157.9570324420929,0.06719350814819336,0.0,0.1663219928741455,0.18002033233642578
15,3,208.77021288871765,-2179360.325,0.9990133047103882,0.5757936835289001,0.5153824090957642,0.22372500598430634,206.71088099479675,48.256962060928345,2.0592005252838135,158.02542853355408,0.06499004364013672,0.0,0.16814851760864258,0.17070937156677246
16,1,216.80312204360962,-5353318.3,0.9998999834060669,0.5731716156005859,0.5123810768127441,0.2285143882036209,211.9484441280365,85.8166286945343,4.854363441467285,125.45543718338013,0.06824874877929688,0.0,0.4560534954071045,0.12343525886535645
16,2,219.0868785381317,-5356267.75,0.9990859627723694,0.5721453428268433,0.511610746383667,0.22758908569812775,213.99757313728333,88.35697555541992,5.088919162750244,124.97914338111877,0.06960654258728027,0.0,0.43941831588745117,0.12406420707702637
16,3,206.7068750858307,-5354914.8,0.9982398152351379,0.5718368887901306,0.5108473896980286,0.2271997034549713,201.344135761261,75.52155637741089,5.3624348640441895,125.14621067047119,0.06872200965881348,0.0,0.4525578022003174,0.12694692611694336
17,1,536.802042722702,-13101337.8,0.9998999834060669,0.5712233185768127,0.5098094940185547,0.2369096428155899,523.5418581962585,320.37842297554016,13.259079933166504,199.8078122138977,0.07074546813964844,0.0,0.5439021587371826,2.7106733322143555
17,2,503.2629134654999,-13103666.9,0.9998999834060669,0.5721312165260315,0.5106133222579956,0.23820041120052338,491.1031529903412,290.0789084434509,12.158691883087158,200.19071865081787,0.07039093971252441,0.0,0.5248680114746094,0.2077181339263916
17,3,502.6510274410248,-13102386.0,0.9998999834060669,0.571355402469635,0.5103170871734619,0.23713479936122894,489.39503240585327,288.22817850112915,13.255038738250732,200.36023616790771,0.06984543800354004,0.0,0.4976663589477539,0.20920825004577637
18,1,1235.7533056735992,-32036112.2,0.9998999834060669,0.5653982162475586,0.5037853121757507,0.24417318403720856,1203.9198203086853,895.9055306911469,31.830503702163696,306.49516701698303,0.0669243335723877,0.0,1.1045703887939453,0.31886768341064453
