k,s,total_time_seconds,best_log_likelihood,P00,P01,P10,P11,full_fit,gradient_gpu,init_cpu_gpu,mcmc_cpu,optimizer_gpu,peak_vram_mb,transfer_pcie,warm_up_mcmc_cpu
1,1,3.8348870277404785,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,2.9287490844726562,0.7412877082824707,0.9061243534088135,0.8207991123199463,0.04128670692443848,0.0,0.026611804962158203,1.2866008281707764
1,2,1.6786611080169678,-0.0004000663757324219,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,9.999999747378752e-05,1.677847146987915,0.7366087436676025,0.0007898807525634766,0.861323356628418,0.0407562255859375,0.0,0.026559114456176758,0.0009129047393798828
1,3,0.9805710315704346,0.0,0.8999999761581421,0.699999988079071,0.5,0.20000000298023224,0.9797935485839844,0.6560373306274414,0.0007560253143310547,0.2436974048614502,0.04158329963684082,0.0,0.026365995407104492,0.0002491474151611328
2,1,2.330726146697998,-5.530352592468262,0.9998999834060669,0.7420673966407776,0.4818008244037628,9.999999747378752e-05,2.329984188079834,0.8188765048980713,0.0007207393646240234,1.4284939765930176,0.04190540313720703,0.0,0.027100324630737305,0.0015909671783447266
2,2,2.381176233291626,-4.838961124420166,0.9998999834060669,0.5452830791473389,0.5452429056167603,9.999999747378752e-05,2.380404472351074,0.8148157596588135,0.0007503032684326172,1.483001470565796,0.04176473617553711,0.0,0.027144193649291992,0.0016264915466308594
2,3,1.6666252613067627,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,1.6659181118011475,0.749286413192749,0.0006849765777587891,0.8363292217254639,0.040776729583740234,0.0,0.026846885681152344,0.0008692741394042969
3,1,4.5282135009765625,-20.773296356201172,0.9998999834060669,0.5833719372749329,0.766416609287262,0.055924154818058014,4.527398586273193,0.8846108913421631,0.0007894039154052734,3.5550498962402344,0.042706966400146484,0.0,0.028566360473632812,0.004244327545166016
3,2,3.3958256244659424,-15.32834243774414,0.9998999834060669,0.5029469132423401,0.7482537627220154,9.999999747378752e-05,3.395010471343994,0.8730525970458984,0.00079345703125,2.436520576477051,0.0420529842376709,0.0,0.02772235870361328,0.0036334991455078125
3,3,4.808761119842529,-17.54786376953125,0.9998999834060669,0.27843108773231506,0.9998999834060669,0.12486884742975235,4.807956218719482,0.8723444938659668,0.0007834434509277344,3.848916530609131,0.04243159294128418,0.0,0.02806568145751953,0.00406336784362793
4,1,8.072757244110107,-74.35673065185547,0.7535987496376038,0.9124644994735718,0.664061963558197,0.1175895482301712,8.0717294216156,0.9391999244689941,0.0010056495666503906,7.042208433151245,0.04267144203186035,0.0,0.027897119522094727,0.007749319076538086
