k,s,total_time_seconds,best_log_likelihood,P00,P01,P10,P11,full_fit,gradient_gpu,init_cpu_gpu,mcmc_cpu,optimizer_gpu,transfer_pcie,warm_up_mcmc_cpu
1,1,4.249791860580444,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,4.2486937046051025,2.899843454360962,0.001068115234375,1.0893685817718506,0.11023569107055664,0.09270954132080078,0.0010297298431396484
1,2,4.306437730789185,-0.0004000663757324219,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,9.999999747378752e-05,4.30541205406189,2.910837411880493,0.0009958744049072266,1.1281764507293701,0.11406111717224121,0.0939474105834961,0.001064300537109375
1,3,3.533172369003296,0.0,0.8995499610900879,0.69964998960495,0.4997499883174896,0.19990000128746033,3.5317025184631348,2.7096762657165527,0.0014216899871826172,0.46091222763061523,0.146834135055542,0.13823819160461426,0.00039839744567871094
1,4,3.50889253616333,0.0,0.8995499610900879,0.69964998960495,0.4997499883174896,0.19990000128746033,3.507434129714966,2.6971118450164795,0.0014102458953857422,0.4549593925476074,0.1448359489440918,0.13558578491210938,0.0004115104675292969
1,5,3.455862045288086,0.0,0.8995499610900879,0.69964998960495,0.4997499883174896,0.19990000128746033,3.4542901515960693,2.683181047439575,0.00153350830078125,0.4369230270385742,0.13737201690673828,0.12936902046203613,0.0004093647003173828
1,6,4.263146877288818,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,4.262044429779053,2.9119346141815186,0.001071929931640625,1.0862376689910889,0.11258268356323242,0.09286808967590332,0.0016164779663085938
1,7,4.3488099575042725,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,4.347719669342041,2.902618408203125,0.0010590553283691406,1.182992696762085,0.11195945739746094,0.0926969051361084,0.001180410385131836
1,8,3.5257701873779297,0.0,0.8995499610900879,0.69964998960495,0.4997499883174896,0.19990000128746033,3.5244393348693848,2.706712484359741,0.001295328140258789,0.46083855628967285,0.14697933197021484,0.13852834701538086,0.00039076805114746094
1,9,3.527397394180298,0.0,0.8995499610900879,0.69964998960495,0.4997499883174896,0.19990000128746033,3.526012420654297,2.707160711288452,0.0013434886932373047,0.4608423709869385,0.147263765335083,0.13794851303100586,0.0004131793975830078
1,10,4.3342180252075195,-0.0004000663757324219,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,9.999999747378752e-05,4.3332438468933105,2.9100630283355713,0.0009391307830810547,1.1577262878417969,0.11435222625732422,0.09375143051147461,0.0009469985961914062
1,11,4.258820533752441,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,4.257779359817505,2.9049882888793945,0.001012563705444336,1.0931193828582764,0.11043119430541992,0.09268069267272949,0.0010175704956054688
1,12,4.346197128295898,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,4.345183372497559,2.8916306495666504,0.0009827613830566406,1.1944549083709717,0.11021542549133301,0.09253406524658203,0.001184701919555664
1,13,2.7944445610046387,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,2.793466329574585,1.7767360210418701,0.0009558200836181641,0.8149950504302979,0.08512592315673828,0.07603073120117188,0.0008921623229980469
1,14,4.251313209533691,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,4.250300168991089,2.897045135498047,0.0009860992431640625,1.089547872543335,0.11288976669311523,0.09350419044494629,0.0010352134704589844
1,15,3.538609743118286,0.0,0.8995499610900879,0.69964998960495,0.4997499883174896,0.19990000128746033,3.537245988845825,2.718346357345581,0.0013270378112792969,0.46248435974121094,0.14671897888183594,0.13897967338562012,0.00039577484130859375
1,16,4.2736287117004395,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,4.272545099258423,2.9032845497131348,0.001049041748046875,1.1018073558807373,0.11363673210144043,0.09327006340026855,0.001013040542602539
1,17,4.269104957580566,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,4.268035411834717,2.9106674194335938,0.0010287761688232422,1.0902786254882812,0.11382699012756348,0.09398341178894043,0.0010344982147216797
1,18,4.253819942474365,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,4.252807140350342,2.9032068252563477,0.0009849071502685547,1.089414119720459,0.1103200912475586,0.09307265281677246,0.0010237693786621094
1,19,3.5156290531158447,0.0,0.8995499610900879,0.69964998960495,0.4997499883174896,0.19990000128746033,3.5142862796783447,2.700741767883301,0.0013070106506347656,0.46132326126098633,0.14380955696105957,0.1385042667388916,0.0004012584686279297
1,20,4.2457287311553955,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,4.244726896286011,2.8933956623077393,0.0009739398956298828,1.092139482498169,0.11045074462890625,0.09264159202575684,0.0010237693786621094
1,21,4.31042218208313,-0.0004000663757324219,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,9.999999747378752e-05,4.309319734573364,2.903905153274536,0.0010752677917480469,1.1389505863189697,0.11394858360290527,0.09440350532531738,0.0011057853698730469
1,22,4.1188249588012695,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,4.117808818817139,2.804283857345581,0.0009796619415283203,1.0559971332550049,0.10794663429260254,0.09357237815856934,0.0010213851928710938
1,23,4.26435112953186,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,4.263256549835205,2.9056999683380127,0.0010564327239990234,1.090545415878296,0.11311626434326172,0.0935201644897461,0.0010097026824951172
1,24,3.409710168838501,0.0,0.8995499610900879,0.69964998960495,0.4997499883174896,0.19990000128746033,3.408337116241455,2.6343562602996826,0.0013346672058105469,0.43512558937072754,0.14163875579833984,0.13016057014465332,0.00039386749267578125
1,25,4.357715368270874,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,4.356678485870361,2.894047260284424,0.0010058879852294922,1.1971015930175781,0.11298966407775879,0.09330344200134277,0.0011820793151855469
