k,s,total_time_seconds,best_log_likelihood,full_fit,gradient_gpu,init_cpu_gpu,mcmc_cpu,optimizer_gpu,transfer_pcie,warm_up_mcmc_cpu
1,1,4.249791860580444,-0.0004000663757324219,4.2486937046051025,2.899843454360962,0.001068115234375,1.0893685817718506,0.11023569107055664,0.09270954132080078,0.0010297298431396484
1,2,4.306437730789185,-0.0004000663757324219,4.30541205406189,2.910837411880493,0.0009958744049072266,1.1281764507293701,0.11406111717224121,0.0939474105834961,0.001064300537109375
1,3,3.533172369003296,0.0,3.5317025184631348,2.7096762657165527,0.0014216899871826172,0.46091222763061523,0.146834135055542,0.13823819160461426,0.00039839744567871094
1,4,3.50889253616333,0.0,3.507434129714966,2.6971118450164795,0.0014102458953857422,0.4549593925476074,0.1448359489440918,0.13558578491210938,0.0004115104675292969
1,5,3.455862045288086,0.0,3.4542901515960693,2.683181047439575,0.00153350830078125,0.4369230270385742,0.13737201690673828,0.12936902046203613,0.0004093647003173828
1,6,4.263146877288818,-0.0004000663757324219,4.262044429779053,2.9119346141815186,0.001071929931640625,1.0862376689910889,0.11258268356323242,0.09286808967590332,0.0016164779663085938
1,7,4.3488099575042725,-0.0004000663757324219,4.347719669342041,2.902618408203125,0.0010590553283691406,1.182992696762085,0.11195945739746094,0.0926969051361084,0.001180410385131836
1,8,3.5257701873779297,0.0,3.5244393348693848,2.706712484359741,0.001295328140258789,0.46083855628967285,0.14697933197021484,0.13852834701538086,0.00039076805114746094
1,9,3.527397394180298,0.0,3.526012420654297,2.707160711288452,0.0013434886932373047,0.4608423709869385,0.147263765335083,0.13794851303100586,0.0004131793975830078
1,10,4.3342180252075195,-0.0004000663757324219,4.3332438468933105,2.9100630283355713,0.0009391307830810547,1.1577262878417969,0.11435222625732422,0.09375143051147461,0.0009469985961914062
1,11,4.258820533752441,-0.0004000663757324219,4.257779359817505,2.9049882888793945,0.001012563705444336,1.0931193828582764,0.11043119430541992,0.09268069267272949,0.0010175704956054688
1,12,4.346197128295898,-0.0004000663757324219,4.345183372497559,2.8916306495666504,0.0009827613830566406,1.1944549083709717,0.11021542549133301,0.09253406524658203,0.001184701919555664
1,13,2.7944445610046387,-0.0004000663757324219,2.793466329574585,1.7767360210418701,0.0009558200836181641,0.8149950504302979,0.08512592315673828,0.07603073120117188,0.0008921623229980469
1,14,4.251313209533691,-0.0004000663757324219,4.250300168991089,2.897045135498047,0.0009860992431640625,1.089547872543335,0.11288976669311523,0.09350419044494629,0.0010352134704589844
1,15,3.538609743118286,0.0,3.537245988845825,2.718346357345581,0.0013270378112792969,0.46248435974121094,0.14671897888183594,0.13897967338562012,0.00039577484130859375
1,16,4.2736287117004395,-0.0004000663757324219,4.272545099258423,2.9032845497131348,0.001049041748046875,1.1018073558807373,0.11363673210144043,0.09327006340026855,0.001013040542602539
1,17,4.269104957580566,-0.0004000663757324219,4.268035411834717,2.9106674194335938,0.0010287761688232422,1.0902786254882812,0.11382699012756348,0.09398341178894043,0.0010344982147216797
1,18,4.253819942474365,-0.0004000663757324219,4.252807140350342,2.9032068252563477,0.0009849071502685547,1.089414119720459,0.1103200912475586,0.09307265281677246,0.0010237693786621094
1,19,3.5156290531158447,0.0,3.5142862796783447,2.700741767883301,0.0013070106506347656,0.46132326126098633,0.14380955696105957,0.1385042667388916,0.0004012584686279297
1,20,4.2457287311553955,-0.0004000663757324219,4.244726896286011,2.8933956623077393,0.0009739398956298828,1.092139482498169,0.11045074462890625,0.09264159202575684,0.0010237693786621094
1,21,4.31042218208313,-0.0004000663757324219,4.309319734573364,2.903905153274536,0.0010752677917480469,1.1389505863189697,0.11394858360290527,0.09440350532531738,0.0011057853698730469
1,22,4.1188249588012695,-0.0004000663757324219,4.117808818817139,2.804283857345581,0.0009796619415283203,1.0559971332550049,0.10794663429260254,0.09357237815856934,0.0010213851928710938
1,23,4.26435112953186,-0.0004000663757324219,4.263256549835205,2.9056999683380127,0.0010564327239990234,1.090545415878296,0.11311626434326172,0.0935201644897461,0.0010097026824951172
1,24,3.409710168838501,0.0,3.408337116241455,2.6343562602996826,0.0013346672058105469,0.43512558937072754,0.14163875579833984,0.13016057014465332,0.00039386749267578125
1,25,4.357715368270874,-0.0004000663757324219,4.356678485870361,2.894047260284424,0.0010058879852294922,1.1971015930175781,0.11298966407775879,0.09330344200134277,0.0011820793151855469
1,26,4.26328182220459,-0.0004000663757324219,4.262237548828125,2.9013137817382812,0.001005411148071289,1.097139835357666,0.11307334899902344,0.09347724914550781,0.0010161399841308594
1,27,4.2409937381744385,-0.0004000663757324219,4.239923000335693,2.890218734741211,0.0010342597961425781,1.0904741287231445,0.11034274101257324,0.09258747100830078,0.0010139942169189453
1,28,4.329321622848511,-0.0004000663757324219,4.328308582305908,2.8844165802001953,0.0009832382202148438,1.1856269836425781,0.10944318771362305,0.09224724769592285,0.001165151596069336
1,29,4.353479623794556,-0.0004000663757324219,4.352463483810425,2.894551992416382,0.000990152359008789,1.1983919143676758,0.10989713668823242,0.0928192138671875,0.0011477470397949219
1,30,4.35598087310791,-0.0004000663757324219,4.354968309402466,2.9004759788513184,0.0009853839874267578,1.1946191787719727,0.10995817184448242,0.09325766563415527,0.0011417865753173828
2,1,4.658288955688477,-5.530352592468262,4.657362937927246,2.8971571922302246,0.0009005069732666016,1.5389127731323242,0.09156656265258789,0.0803990364074707,0.0015459060668945312
2,2,4.70585036277771,-4.838960647583008,4.704896450042725,2.884073495864868,0.0009286403656005859,1.6017935276031494,0.0920875072479248,0.07855701446533203,0.0016336441040039062
2,3,4.244673490524292,-0.0004000663757324219,4.243664741516113,2.891793727874756,0.000982046127319336,1.0926380157470703,0.11041784286499023,0.09264087677001953,0.001008749008178711
2,4,4.478989601135254,-3.50988450050354,4.478028297424316,2.878391981124878,0.0009381771087646484,1.3786792755126953,0.09136414527893066,0.08162641525268555,0.0013971328735351562
2,5,5.2540061473846436,-7.791025161743164,5.253064870834351,2.82849383354187,0.0009174346923828125,2.2096259593963623,0.09044098854064941,0.07621335983276367,0.002173900604248047
2,6,4.474487543106079,-4.838961124420166,4.473562002182007,2.8965442180633545,0.0009021759033203125,1.3573215007781982,0.09046125411987305,0.08017563819885254,0.0014870166778564453
2,7,5.058799505233765,-6.9238104820251465,5.057847023010254,2.856236219406128,0.0009243488311767578,1.9850082397460938,0.09121203422546387,0.07663202285766602,0.0020461082458496094
2,8,5.227693557739258,-4.526303958892822,5.226759672164917,2.839308977127075,0.0009083747863769531,2.171360492706299,0.09081435203552246,0.07632708549499512,0.002162933349609375
2,9,4.300215005874634,-0.0004000663757324219,4.299207925796509,2.8965890407562256,0.0009799003601074219,1.1421823501586914,0.11026954650878906,0.09257102012634277,0.001068115234375
2,10,5.2870917320251465,-4.115541934967041,5.286151885986328,2.8152554035186768,0.00091552734375,2.2559218406677246,0.09091615676879883,0.0752410888671875,0.0022923946380615234
2,11,4.970190763473511,-7.791919231414795,4.969277381896973,2.805924654006958,0.0008900165557861328,1.9479756355285645,0.09086275100708008,0.07662034034729004,0.001980304718017578
2,12,4.364972352981567,-3.7933530807495117,4.364041805267334,2.876681327819824,0.0009045600891113281,1.2671477794647217,0.09110450744628906,0.08067822456359863,0.0012655258178710938
2,13,5.1511547565460205,-6.930006980895996,5.150205612182617,2.7841265201568604,0.0009238719940185547,2.148547649383545,0.09143424034118652,0.0767967700958252,0.0021042823791503906
2,14,5.132620811462402,-4.500598907470703,5.131690263748169,2.751528739929199,0.0009014606475830078,2.162607431411743,0.09158849716186523,0.07705068588256836,0.002210855484008789
2,15,4.656853914260864,-3.7156941890716553,4.655909538269043,2.7944164276123047,0.0009202957153320312,1.6404242515563965,0.09154033660888672,0.0813131332397461,0.0016829967498779297
2,16,4.6445839405059814,-6.195045471191406,4.6436567306518555,2.7858917713165283,0.0009036064147949219,1.638582468032837,0.09124922752380371,0.07968497276306152,0.0016474723815917969
2,17,3.5143723487854004,0.0,3.5130372047424316,2.6949448585510254,0.0012969970703125,0.46175432205200195,0.143890380859375,0.14148759841918945,0.0003948211669921875
2,18,4.844269752502441,-4.390779495239258,4.843347549438477,2.8208024501800537,0.0008985996246337891,1.8062984943389893,0.09111189842224121,0.0766751766204834,0.001997232437133789
2,19,4.318563938140869,-4.397591590881348,4.317627191543579,2.812363862991333,0.0009119510650634766,1.2837607860565186,0.09136652946472168,0.08213424682617188,0.0013451576232910156
