k,s,total_time_seconds,best_log_likelihood,full_fit,gradient_gpu,init_cpu_gpu,mcmc_cpu,optimizer_gpu,transfer_pcie,warm_up_mcmc_cpu
1,1,4.244096755981445,-0.0004000663757324219,4.2430596351623535,2.9093799591064453,0.001001596450805664,1.0905232429504395,0.09189796447753906,0.09282565116882324,0.0010232925415039062
1,2,4.281768798828125,-0.0004000663757324219,4.280706882476807,2.90548038482666,0.0010344982147216797,1.132462501525879,0.09270215034484863,0.09309267997741699,0.001070261001586914
1,3,3.4845211505889893,0.0,3.4830868244171143,2.697758436203003,0.001398324966430664,0.45682501792907715,0.11868619918823242,0.13735103607177734,0.00040721893310546875
1,4,3.5011162757873535,0.0,3.4996681213378906,2.7054643630981445,0.0014061927795410156,0.4606330394744873,0.11973261833190918,0.13817262649536133,0.0004069805145263672
1,5,3.4189329147338867,0.0,3.4175305366516113,2.6737406253814697,0.0013666152954101562,0.43620824813842773,0.1121060848236084,0.12861299514770508,0.00043272972106933594
1,6,4.23323392868042,-0.0004000663757324219,4.2321226596832275,2.9020540714263916,0.0010821819305419922,1.0865983963012695,0.0921318531036377,0.09320664405822754,0.0010216236114501953
1,7,4.331265687942505,-0.0004000663757324219,4.33017373085022,2.896059274673462,0.0010666847229003906,1.1909263134002686,0.09218192100524902,0.09308862686157227,0.0011527538299560547
1,8,3.5402441024780273,0.0,3.538877248764038,2.7371065616607666,0.001329660415649414,0.46671223640441895,0.12171196937561035,0.14066481590270996,0.0004100799560546875
1,9,3.5121874809265137,0.0,3.5108351707458496,2.7196743488311768,0.001313924789428711,0.461139440536499,0.1199638843536377,0.13798761367797852,0.0004105567932128906
1,10,4.311516284942627,-0.0004000663757324219,4.31049919128418,2.9072842597961426,0.0009894371032714844,1.159050464630127,0.0938413143157959,0.09341025352478027,0.001081228256225586
1,11,4.236195087432861,-0.0004000663757324219,4.235172271728516,2.9030375480651855,0.0009810924530029297,1.0926017761230469,0.0907895565032959,0.09265637397766113,0.0010135173797607422
1,12,4.337286949157715,-0.0004000663757324219,4.3362603187561035,2.896804094314575,0.0009980201721191406,1.196578025817871,0.09267473220825195,0.09348773956298828,0.00116729736328125
1,13,2.771854877471924,-0.0004000663757324219,2.770775079727173,1.773282766342163,0.0010547637939453125,0.8125412464141846,0.06904053688049316,0.07554388046264648,0.0008831024169921875
1,14,4.236111879348755,-0.0004000663757324219,4.235094785690308,2.9012584686279297,0.0009872913360595703,1.090663194656372,0.09281539916992188,0.0934910774230957,0.0010144710540771484
1,15,3.513482093811035,0.0,3.5120744705200195,2.7189199924468994,0.001371145248413086,0.46268630027770996,0.11962771415710449,0.13905119895935059,0.00040841102600097656
1,16,4.252654790878296,-0.0004000663757324219,4.251574516296387,2.9092860221862793,0.0010495185852050781,1.0955390930175781,0.09328103065490723,0.09411168098449707,0.0010230541229248047
1,17,4.220808744430542,-0.0004000663757324219,4.219419002532959,2.8967032432556152,0.0013585090637207031,1.083524227142334,0.08955812454223633,0.09299039840698242,0.0015108585357666016
