k,s,total_time_seconds,best_log_likelihood,peak_vram_mb,P00,P01,P10,P11,full_fit,gradient_gpu,init_cpu_gpu,mcmc_cpu,optimizer_gpu,peak_vram_mb,transfer_pcie,warm_up_mcmc_cpu
1,1,6.950284481048584,-0.0004000663757324219,0.01806640625,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,5.905963659286499,3.1078479290008545,1.044053316116333,1.0617001056671143,0.16432738304138184,0.01806640625,0.15395116806030273,1.3511443138122559
1,2,4.480980157852173,-0.0004000663757324219,0.0283203125,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,9.999999747378752e-05,4.477612495422363,2.910496473312378,0.0031309127807617188,1.0295825004577637,0.1032559871673584,0.0283203125,0.33103084564208984,0.0011267662048339844
1,3,3.481130838394165,0.0,0.0283203125,0.8999999761581421,0.699999988079071,0.5,0.20000000298023224,3.477095365524292,2.4831318855285645,0.003780841827392578,0.3712460994720459,0.1127171516418457,0.0283203125,0.3939626216888428,0.00028634071350097656
1,4,3.517073392868042,0.0,0.0283203125,0.8999999761581421,0.699999988079071,0.5,0.20000000298023224,3.512869358062744,2.4626991748809814,0.0039789676666259766,0.3806273937225342,0.11996293067932129,0.0283203125,0.4220094680786133,0.00035190582275390625
1,5,3.5832395553588867,0.0,0.0283203125,0.8999999761581421,0.699999988079071,0.5,0.20000000298023224,3.5794219970703125,2.539910078048706,0.003548145294189453,0.3731851577758789,0.11998224258422852,0.0283203125,0.4240555763244629,0.0002849102020263672
1,6,4.565845251083374,-0.0004000663757324219,0.0283203125,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,4.561919450759888,2.9405508041381836,0.0037004947662353516,0.9978258609771729,0.10523676872253418,0.0283203125,0.4021179676055908,0.0010919570922851562
1,7,4.419888496398926,-0.0004000663757324219,0.0283203125,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,4.415916204452515,2.7297630310058594,0.0037381649017333984,1.0808594226837158,0.1040191650390625,0.0283203125,0.3902311325073242,0.001027822494506836
1,8,2.710123300552368,0.0,0.0283203125,0.8999999761581421,0.699999988079071,0.5,0.20000000298023224,2.7065627574920654,1.8230948448181152,0.0033516883850097656,0.2944960594177246,0.09882426261901855,0.0283203125,0.370133638381958,0.00030303001403808594
1,9,2.8280200958251953,0.0,0.0283203125,0.8999999761581421,0.699999988079071,0.5,0.20000000298023224,2.824246644973755,1.915085792541504,0.0035512447357177734,0.3018782138824463,0.09979462623596191,0.0283203125,0.3849525451660156,0.0002808570861816406
1,10,4.512876510620117,-0.0004000663757324219,0.0283203125,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,9.999999747378752e-05,4.509787559509277,2.9188930988311768,0.0026378631591796875,1.0096120834350586,0.10217976570129395,0.0283203125,0.36532044410705566,0.0009472370147705078
1,11,6.87701678276062,-0.0004000663757324219,0.01806640625,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,5.9016571044921875,3.0649495124816895,0.9751451015472412,1.0578563213348389,0.1665196418762207,0.01806640625,0.09966254234313965,1.455857753753662
1,12,3.8072409629821777,-0.0004000663757324219,0.0283203125,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,3.8044657707214355,2.4843122959136963,0.0025277137756347656,1.0747795104980469,0.09761881828308105,0.0283203125,0.09521937370300293,0.0009698867797851562
1,13,4.307955265045166,-0.0004000663757324219,0.0283203125,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,4.3050360679626465,2.896719217300415,0.0027246475219726562,1.0156497955322266,0.10368061065673828,0.0283203125,0.21792078018188477,0.0008738040924072266
1,14,4.3911426067352295,-0.0004000663757324219,0.0283203125,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,4.387476444244385,2.9634459018707275,0.003424406051635742,1.025066614151001,0.10544419288635254,0.0283203125,0.22260141372680664,0.0008854866027832031
1,15,3.3817052841186523,0.0,0.0283203125,0.8999999761581421,0.699999988079071,0.5,0.20000000298023224,3.3780109882354736,2.630985736846924,0.003467559814453125,0.3580920696258545,0.11068844795227051,0.0283203125,0.20647454261779785,0.0003368854522705078
2,1,4.604004144668579,-5.530353546142578,0.0283203125,0.9998999834060669,0.7420399785041809,0.48184987902641296,9.999999747378752e-05,4.601742506027222,2.4964070320129395,0.002041339874267578,1.5485715866088867,0.0989069938659668,0.0283203125,0.34932947158813477,0.0015888214111328125
