k,s,total_time_seconds,best_log_likelihood,peak_vram_mb,P00,P01,P10,P11,full_fit,gradient_gpu,init_cpu_gpu,mcmc_cpu,optimizer_gpu,peak_vram_mb,transfer_pcie,warm_up_mcmc_cpu
1,1,4.090269088745117,-0.0004000663757324219,1363.09765625,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,4.088718891143799,2.792243719100952,0.0013594627380371094,0.9197976589202881,0.09900236129760742,1363.09765625,0.19697070121765137,0.0008702278137207031
1,2,4.102142810821533,-0.0004000663757324219,1363.09765625,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,4.100982427597046,2.7943146228790283,0.0009686946868896484,0.9239406585693359,0.09845972061157227,1363.09765625,0.20643043518066406,0.0008671283721923828
1,3,4.108407974243164,-0.0004000663757324219,1363.09765625,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,4.106394052505493,2.7179901599884033,0.0018045902252197266,1.0139410495758057,0.09847235679626465,1363.09765625,0.1972944736480713,0.0010089874267578125
2,1,4.980024337768555,-5.229885578155518,1363.09765625,0.9998999834060669,0.7420117259025574,9.999999747378752e-05,0.7420117855072021,4.977916717529297,3.0114705562591553,0.0018956661224365234,1.5823853015899658,0.09907269477844238,1363.09765625,0.20847272872924805,0.0016562938690185547
2,2,4.730295896530151,-4.4530150413513185,1363.09765625,0.9998999834060669,0.8088643550872803,9.999999747378752e-05,0.5684205293655396,4.729098320007324,3.0117509365081787,0.0009908676147460938,1.3301401138305664,0.09852051734924316,1363.09765625,0.2086162567138672,0.0013267993927001953
2,3,4.9496259689331055,-5.229886054992676,1363.09765625,0.9998999834060669,9.999999747378752e-05,0.7420118451118469,0.742011547088623,4.948504447937012,3.013019323348999,0.0009164810180664062,1.5427336692810059,0.09900379180908203,1363.09765625,0.21388721466064453,0.0015833377838134766
3,2,5.969836950302124,-17.186795806884767,1363.09765625,0.9998999834060669,0.32293441891670227,0.09429803490638733,0.9998999834060669,5.968713998794556,3.225999116897583,0.0009098052978515625,2.3481547832489014,0.09987378120422363,1363.09765625,0.20937323570251465,0.0024416446685791016
3,3,5.417870044708252,-12.628660774230957,1363.09765625,0.9998999834060669,9.999999747378752e-05,0.41676709055900574,0.6876473426818848,5.416642189025879,3.2154319286346436,0.0010399818420410156,1.8075840473175049,0.09925365447998047,1363.09765625,0.2174079418182373,0.0020143985748291016
4,1,6.774745941162109,-47.30444259643555,1363.09765625,0.9998999834060669,0.12947754561901093,0.19422394037246704,0.9325261116027832,6.773207426071167,3.4353203773498535,0.0013282299041748047,2.9314534664154053,0.0997459888458252,1363.09765625,0.22716927528381348,0.003247499465942383
4,2,6.747111558914185,-45.25541343688965,1363.09765625,0.9998999834060669,0.11492838710546494,0.24558982253074646,0.8060227632522583,6.745714426040649,3.436231851577759,0.0011954307556152344,2.905104398727417,0.0998084545135498,1363.09765625,0.22143769264221191,0.003124713897705078
