k,sample,time,best_ll,theta_0,theta_1,theta_2,theta_3
4,26,52.61,-49.0594,0.9999,0.2394,0.2641,0.563
4,27,65.03,-66.2125,0.9999,0.3373,0.3321,0.5423
4,28,66.97,-74.0765,0.9999,0.3949,0.3368,0.6025
4,29,83.08,-79.2773,0.9272,0.4331,0.4201,0.5065
4,30,84.53,-66.1609,0.9999,0.2907,0.3288,0.6734
5,1,72.89,-169.5613,0.9999,0.346,0.3166,0.5245
5,2,71.98,-166.1662,0.9999,0.329,0.2819,0.5778
5,3,76.67,-164.5977,0.9999,0.3095,0.261,0.6535
5,4,73.91,-163.8195,0.9999,0.3406,0.2912,0.5811
5,5,72.08,-194.6195,0.9999,0.368,0.3578,0.5584
5,6,73.24,-154.1965,0.9999,0.2901,0.281,0.6198
5,7,72.25,-159.0059,0.9999,0.367,0.2968,0.4851
5,8,79.42,-169.4286,0.9999,0.3377,0.3591,0.5133
5,9,85.91,-181.7776,0.971,0.2998,0.3311,0.6528
5,10,78.32,-149.5392,0.9999,0.2649,0.2633,0.6196
5,11,71.48,-157.2469,0.9999,0.2686,0.3032,0.6218
5,12,83.65,-183.4156,0.9948,0.3086,0.3438,0.584
5,13,86.3,-198.7485,0.9491,0.3666,0.3927,0.5644
5,14,73.6,-126.0633,0.9999,0.1838,0.2035,0.7807
5,15,72.04,-173.8343,0.9999,0.3441,0.3314,0.5457
5,16,62.93,-116.3033,0.9999,0.2237,0.2436,0.5664
5,17,62.62,-145.7999,0.9999,0.2794,0.2661,0.6152
5,18,73.51,-144.3425,0.9999,0.2499,0.266,0.6437
5,19,90.17,-204.0363,0.9999,0.399,0.3818,0.5354
5,20,76.27,-177.9457,0.9999,0.3085,0.3478,0.5882
5,21,74.62,-165.4802,0.9948,0.3096,0.3504,0.5147
5,22,70.37,-161.8882,0.9931,0.2977,0.3116,0.5614
5,23,80.7,-176.2796,0.9999,0.3476,0.3631,0.4966
5,24,73.86,-174.8086,0.9999,0.3086,0.3017,0.6339
5,25,75.03,-162.6991,0.9999,0.3198,0.3742,0.4649
5,26,70.05,-144.932,0.9999,0.2931,0.2966,0.5427
5,27,81.29,-188.9813,0.9999,0.3019,0.2828,0.7093
5,28,67.72,-150.2656,0.9999,0.2765,0.2776,0.6192
5,29,71.11,-160.6177,0.9463,0.3117,0.3041,0.5781
5,30,73.93,-146.5654,0.9999,0.289,0.3182,0.5134
6,1,110.31,-3.3174,0.9999,0.0001,0.0001,0.7355
6,2,80.69,-8.4598,0.9999,0.0574,0.0423,0.745
6,3,66.25,-12.0455,0.9999,0.0956,0.0995,0.7457
6,4,60.49,-12.4494,0.9999,0.1015,0.0879,0.7362
6,5,52.61,-22.7972,0.8332,0.1644,0.1596,0.3998
6,6,65.07,-14.9083,0.9648,0.1291,0.1283,0.7537
6,7,81.84,-8.4418,0.9999,0.0542,0.0497,0.7454
6,8,56.1,-19.2285,0.9999,0.1091,0.1027,0.3809
6,9,51.1,-22.7018,0.9999,0.1385,0.1227,0.402
6,10,71.89,-16.5799,0.9999,0.0588,0.0639,0.518
6,11,60.61,-12.4491,0.9999,0.101,0.0944,0.737
6,12,71.81,-16.5485,0.9999,0.0656,0.053,0.5281
6,13,58.58,-12.453,0.9999,0.1021,0.0959,0.7362
6,14,58.91,-20.2694,0.9999,0.098,0.0889,0.4649
6,15,110.42,-3.3174,0.9999,0.0001,0.0001,0.7355
6,16,71.73,-16.56,0.9999,0.0651,0.057,0.5125
6,17,50.67,-22.6923,0.9999,0.1232,0.1343,0.393
6,18,66.46,-14.9134,0.9628,0.1303,0.1376,0.7548
6,19,114.74,-3.1653,0.9999,0.0001,0.0001,0.7436
6,20,57.27,-19.5296,0.9999,0.0915,0.0948,0.4532
6,21,110.29,-3.3174,0.9999,0.0001,0.0001,0.7355
6,22,59.76,-19.5565,0.9999,0.1026,0.091,0.4521
6,23,50.82,-22.7072,0.9999,0.1382,0.1231,0.4031
6,24,81.98,-8.4731,0.9999,0.0561,0.0482,0.7452
6,25,67.0,-12.0698,0.9999,0.0991,0.0935,0.7466
6,26,67.52,-12.0719,0.9999,0.1018,0.0969,0.7461
6,27,72.01,-16.617,0.9999,0.0582,0.0641,0.5299
6,28,60.36,-12.4745,0.9999,0.095,0.1003,0.7371
6,29,60.16,-12.4489,0.9947,0.0931,0.1041,0.7359
6,30,110.94,-3.3174,0.9999,0.0001,0.0001,0.7355
7,1,51.38,-140.206,0.9999,0.1747,0.1781,0.4571
7,2,54.27,-126.6713,0.9999,0.1481,0.1339,0.4964
7,3,57.94,-127.2607,0.9999,0.1371,0.1369,0.5374
7,4,61.86,-128.4263,0.9999,0.1565,0.1529,0.4966
7,5,53.92,-136.0413,0.9999,0.1544,0.1626,0.4694
7,6,49.24,-150.1959,0.9999,0.2189,0.1955,0.4079
7,7,55.86,-118.1885,0.9999,0.1274,0.1387,0.5
7,8,64.07,-93.3969,0.9999,0.1701,0.1759,0.6641
7,9,57.16,-127.6722,0.9999,0.1262,0.1548,0.4959
7,10,56.88,-122.1425,0.9999,0.1379,0.1401,0.511
7,11,57.3,-127.8905,0.9999,0.1492,0.1432,0.4845
7,12,63.72,-97.4027,0.9999,0.1529,0.1434,0.7233
7,13,66.15,-98.2474,0.9999,0.1675,0.1593,0.7256
7,14,60.16,-128.1266,0.9999,0.1578,0.1603,0.4793
7,15,57.55,-120.2499,0.9999,0.1426,0.1265,0.4914
7,16,64.06,-95.9758,0.9999,0.1532,0.1522,0.7429
7,17,50.95,-139.467,0.9519,0.1717,0.18,0.4652
7,18,64.07,-95.2257,0.9999,0.1417,0.1511,0.7572
7,19,53.55,-130.7784,0.9999,0.1643,0.1563,0.448
7,20,63.27,-94.5777,0.9776,0.1475,0.1467,0.7663
7,21,53.85,-135.1218,0.9999,0.1912,0.1507,0.4597
7,22,58.09,-119.9593,0.9999,0.1349,0.1153,0.5272
7,23,54.25,-122.1076,0.9999,0.1274,0.1322,0.5167
7,24,57.08,-131.6441,0.9999,0.1583,0.1569,0.4845
7,25,58.95,-123.3862,0.9999,0.1441,0.1288,0.5262
7,26,63.87,-112.3685,0.9999,0.1066,0.1123,0.5592
7,27,55.44,-120.4664,0.9999,0.1349,0.1271,0.5409
7,28,58.08,-114.6036,0.8986,0.2193,0.2083,0.7114
7,29,55.17,-132.1976,0.9999,0.1594,0.1671,0.4481
7,30,54.75,-127.9107,0.9999,0.1428,0.1454,0.4798
8,1,56.41,-964.2457,0.9999,0.1924,0.1949,0.574
8,2,56.48,-980.6453,0.9999,0.2036,0.1889,0.555
8,3,56.61,-979.0306,0.9999,0.1879,0.1866,0.5364
8,4,85.75,-2402.0164,0.9915,0.2929,0.2933,0.5789
8,5,92.03,-2531.9837,0.9503,0.3234,0.3216,0.5687
8,6,81.95,-2417.6578,0.9999,0.3053,0.3144,0.5689
8,7,90.14,-2505.1352,0.9645,0.3383,0.325,0.5598
8,8,87.67,-2467.7857,0.9747,0.3006,0.3098,0.5754
8,9,85.33,-2402.9885,0.9937,0.2813,0.297,0.5923
8,10,84.75,-2419.9104,0.9895,0.2995,0.2938,0.5726
8,11,86.11,-2463.9892,0.994,0.2993,0.307,0.5694
8,12,90.61,-2510.6008,0.9785,0.3166,0.3244,0.5818
8,13,88.41,-2473.221,0.9765,0.3183,0.322,0.5777
8,14,93.93,-2527.6944,0.957,0.3236,0.3192,0.5634
8,15,82.27,-2370.5479,0.9999,0.3045,0.3078,0.5757
8,16,87.62,-2428.8325,0.9982,0.3201,0.3173,0.5542
8,17,85.94,-2453.4286,0.9801,0.3069,0.3132,0.5534
8,18,87.06,-2467.6306,0.9799,0.3251,0.3237,0.5649
8,19,83.81,-2427.7946,0.9999,0.3092,0.2996,0.5849
8,20,84.17,-2456.7364,0.9911,0.3144,0.3062,0.5578
8,21,89.45,-2472.1855,0.9924,0.3153,0.3104,0.5501
8,22,84.36,-2439.7901,0.9999,0.3062,0.3182,0.5643
8,23,82.66,-2395.7924,0.9999,0.2893,0.2949,0.6055
8,24,82.83,-2437.6246,0.9999,0.3151,0.3098,0.5644
8,25,90.42,-2522.8645,0.9598,0.3215,0.3183,0.555
8,26,81.32,-2385.9045,0.9999,0.3032,0.2865,0.6117
8,27,86.97,-2483.1482,0.9733,0.3036,0.3085,0.5798
8,28,84.29,-2445.3721,0.9918,0.308,0.2989,0.5621
8,29,93.77,-2517.3125,0.978,0.3273,0.3109,0.5801
8,30,91.95,-2460.1583,0.9669,0.3043,0.303,0.5802
9,1,69.99,-4140.1335,0.9948,0.2717,0.267,0.5299
9,2,73.79,-4126.9674,0.9948,0.2678,0.2719,0.5442
9,3,69.97,-4178.6393,0.9999,0.2817,0.2805,0.5173
9,4,71.77,-4194.3825,0.9999,0.2706,0.2705,0.5395
9,5,72.06,-4178.6568,0.9948,0.2711,0.272,0.5312
9,6,71.23,-4181.6661,0.9999,0.2729,0.277,0.5254
9,7,71.1,-4160.903,0.9999,0.2868,0.277,0.5158
9,8,72.43,-4080.0502,0.9948,0.2645,0.263,0.5446
9,9,78.13,-4214.6966,0.9948,0.2865,0.2844,0.513
9,10,72.52,-4164.4203,0.9999,0.2778,0.2746,0.5469
9,11,74.42,-4263.201,0.9948,0.2804,0.2827,0.5164
9,12,73.47,-4100.4162,0.9948,0.2611,0.2655,0.5508
9,13,72.72,-4012.3183,0.9947,0.2569,0.2521,0.5715
9,14,76.62,-4121.414,0.9999,0.2744,0.2812,0.5489
9,15,75.64,-4191.8081,0.9949,0.2759,0.2831,0.5274
9,16,72.67,-4025.1142,0.9948,0.2505,0.2497,0.569
9,17,73.97,-4030.5979,0.9948,0.2545,0.2506,0.568
9,18,71.28,-4067.6929,0.9999,0.2622,0.2607,0.5522
9,19,73.55,-4123.1296,0.9999,0.2738,0.2734,0.5293
9,20,75.08,-4207.1418,0.9949,0.2705,0.2732,0.5442
9,21,72.77,-4199.4639,0.9946,0.2845,0.2768,0.5228
9,22,72.96,-4127.2664,0.9999,0.2605,0.2741,0.5467
9,23,77.39,-4225.0432,0.9948,0.2789,0.2824,0.5238
9,24,71.54,-4113.0383,0.9999,0.2713,0.2701,0.54
9,25,72.17,-4106.6165,0.9999,0.2715,0.263,0.5343
9,26,72.74,-4193.6361,0.9942,0.2587,0.2689,0.5506
9,27,73.9,-4150.3248,0.9946,0.2681,0.2667,0.5456
9,28,73.94,-4197.3227,0.9949,0.2743,0.273,0.5392
9,29,74.4,-4152.5279,0.9949,0.2668,0.273,0.5291
