k,sample,time,best_ll,theta_0,theta_1,theta_2,theta_3
5,5,135.53,-234.5111,0.791,0.4603,0.4967,0.5499
5,6,83.3,-185.3416,0.9999,0.3037,0.3237,0.6687
5,7,98.16,-236.4927,0.9999,0.3853,0.4205,0.5984
5,8,90.66,-202.2416,0.9999,0.3782,0.4278,0.504
5,9,71.3,-168.7687,0.9999,0.3122,0.2954,0.6377
5,10,93.47,-232.0898,0.9999,0.3916,0.4119,0.5852
5,11,86.9,-199.1933,0.9494,0.4105,0.4393,0.4441
5,12,86.55,-218.894,0.9999,0.3247,0.4032,0.6395
5,13,96.08,-237.2696,0.9999,0.4318,0.4456,0.4986
5,14,122.17,-250.5378,0.8917,0.4054,0.444,0.655
5,15,92.72,-196.069,0.9436,0.381,0.4015,0.5303
5,16,104.02,-226.1647,0.9947,0.405,0.4301,0.508
5,17,85.14,-222.6313,0.9999,0.35,0.4274,0.5793
5,18,89.46,-215.1581,0.9999,0.3465,0.393,0.5849
5,19,137.3,-244.2061,0.7948,0.4062,0.403,0.7837
5,20,94.69,-240.6997,0.9999,0.4562,0.4469,0.4796
5,21,84.05,-191.2306,0.9999,0.3703,0.4017,0.478
5,22,90.28,-222.1242,0.9999,0.3516,0.426,0.5929
5,23,89.81,-209.7803,0.9999,0.4047,0.4442,0.4633
6,1,81.54,-8.5954,0.9999,0.0577,0.0504,0.7344
6,2,61.49,-19.5912,0.9999,0.1092,0.084,0.4515
6,3,68.38,-12.079,0.9999,0.0999,0.0963,0.7462
6,4,59.45,-19.5265,0.9999,0.1034,0.0892,0.4512
6,5,60.15,-12.4824,0.9999,0.1012,0.0934,0.7368
6,6,81.72,-8.601,0.9999,0.0603,0.049,0.7351
6,7,57.28,-19.5924,0.9999,0.0825,0.1092,0.441
6,8,59.26,-22.3788,0.9802,0.1273,0.1267,0.4236
6,9,66.6,-12.0776,0.9999,0.1022,0.0931,0.7468
6,10,82.6,-8.5822,0.9999,0.0565,0.0501,0.7335
6,11,60.19,-12.4856,0.9999,0.0954,0.1007,0.735
6,12,56.05,-19.2682,0.986,0.1091,0.1021,0.3869
6,13,59.65,-19.6073,0.9999,0.1032,0.0899,0.4543
6,14,59.2,-19.5677,0.9999,0.0806,0.1089,0.4417
6,15,88.4,-7.9983,0.9999,0.0478,0.0552,0.7474
6,16,65.49,-12.0843,0.9999,0.1021,0.0929,0.746
6,17,81.33,-8.4427,0.9999,0.0488,0.0549,0.7453
6,18,88.56,-8.0908,0.9999,0.0418,0.0663,0.7472
6,19,54.39,-24.1918,0.8941,0.1482,0.1438,0.4651
6,20,71.96,-16.5642,0.9999,0.064,0.0581,0.5234
6,21,56.55,-19.227,0.9898,0.0999,0.1135,0.3879
6,22,64.88,-14.929,0.972,0.1312,0.1392,0.7542
6,23,66.28,-12.0803,0.9999,0.0859,0.1092,0.7467
6,24,81.8,-8.4369,0.9999,0.0497,0.0546,0.7457
6,25,114.64,-3.1653,0.9999,0.0001,0.0001,0.7436
6,26,50.76,-22.769,0.9947,0.1143,0.145,0.3913
6,27,58.93,-19.576,0.9999,0.1009,0.0903,0.4514
6,28,50.27,-22.7975,0.9999,0.1236,0.1484,0.4008
6,29,82.27,-8.463,0.9999,0.0475,0.0575,0.7456
6,30,60.51,-12.4396,0.9999,0.1038,0.092,0.7366
7,1,66.72,-306.0236,0.9755,0.2581,0.3809,0.427
7,2,65.11,-291.6364,0.9942,0.2526,0.3611,0.3973
7,3,62.66,-281.8621,0.9999,0.2171,0.3317,0.4776
7,4,80.39,-325.7628,0.8879,0.3122,0.4842,0.3518
7,5,69.22,-290.055,0.9999,0.2486,0.3514,0.4397
7,6,65.39,-263.2232,0.9999,0.1977,0.26,0.5702
7,7,61.56,-280.6695,0.9999,0.2165,0.3106,0.5016
7,8,66.96,-295.8572,0.965,0.251,0.346,0.4491
7,9,67.79,-300.5604,0.9763,0.2421,0.3592,0.4371
7,10,64.85,-286.5066,0.9999,0.2395,0.3399,0.4552
7,11,66.24,-272.1113,0.9999,0.2174,0.3197,0.4851
7,12,59.46,-276.1808,0.9999,0.2264,0.3217,0.4489
7,13,66.52,-292.7515,0.9999,0.2129,0.3612,0.4477
7,14,70.25,-290.8628,0.9948,0.252,0.3533,0.4128
7,15,62.6,-283.6574,0.9999,0.2174,0.323,0.4682
7,16,66.95,-296.8496,0.9503,0.2632,0.3566,0.4588
7,17,66.12,-288.9549,0.9999,0.2663,0.3532,0.4184
7,18,65.67,-292.2796,0.9999,0.2451,0.3733,0.42
7,19,61.02,-274.1248,0.9999,0.2072,0.3047,0.4872
7,20,65.49,-299.9749,0.9999,0.2573,0.3805,0.4026
7,21,63.76,-296.957,0.9999,0.2577,0.3857,0.3915
7,22,59.6,-277.9565,0.9999,0.2163,0.324,0.463
7,23,71.96,-295.491,0.944,0.2919,0.389,0.3995
7,24,58.74,-261.1667,0.9999,0.1943,0.2619,0.5455
7,25,71.38,-300.6688,0.9599,0.267,0.3881,0.3897
7,26,64.91,-275.61,0.9999,0.2109,0.3212,0.4674
7,27,61.53,-279.1337,0.9999,0.209,0.2987,0.5157
7,28,63.97,-279.2984,0.9999,0.2262,0.3121,0.4653
7,29,67.26,-304.6351,0.9725,0.2478,0.3573,0.4359
7,30,62.86,-290.5275,0.9999,0.2353,0.3634,0.4232
8,1,121.21,-3784.3531,0.9949,0.3807,0.4223,0.5183
8,2,137.31,-3880.1416,0.9631,0.4028,0.4381,0.5149
8,3,128.34,-3831.6989,0.9667,0.394,0.4171,0.5162
8,4,140.1,-3901.2387,0.9453,0.4114,0.4415,0.496
8,5,122.86,-3785.6277,0.9932,0.3878,0.4238,0.5166
8,6,115.12,-3751.2834,0.9953,0.3651,0.4019,0.563
8,7,120.04,-3746.8428,0.9922,0.3701,0.4219,0.5029
8,8,123.34,-3791.207,0.9952,0.3772,0.4257,0.5203
8,9,122.83,-3767.6137,0.994,0.3697,0.4152,0.5526
8,10,122.95,-3779.2935,0.9935,0.3854,0.4214,0.5199
8,11,116.12,-3769.2564,0.9878,0.3768,0.4055,0.5139
8,12,132.22,-3852.1566,0.9724,0.3974,0.4368,0.515
8,13,130.74,-3895.4986,0.9683,0.3885,0.4446,0.527
8,14,118.59,-3754.2793,0.9942,0.3699,0.4155,0.5102
8,15,121.91,-3778.9237,0.9949,0.3946,0.424,0.5032
8,16,141.0,-3876.5991,0.951,0.4127,0.4639,0.4877
8,17,144.05,-3897.8355,0.9431,0.4233,0.4499,0.4982
8,18,138.2,-3873.7526,0.961,0.4066,0.4473,0.5028
9,1,141.27,-9748.5941,0.9893,0.373,0.417,0.5161
9,2,149.45,-9844.6392,0.9817,0.3926,0.429,0.5197
9,3,156.9,-9934.1237,0.9582,0.3989,0.4484,0.5169
9,4,139.65,-9727.6198,0.9878,0.3815,0.4192,0.5345
9,5,155.77,-9901.1533,0.9591,0.3904,0.4372,0.5075
9,6,164.96,-10005.0339,0.9541,0.3995,0.4485,0.4981
9,7,158.76,-9955.6761,0.9517,0.39,0.4361,0.5029
9,8,156.59,-9960.0406,0.9606,0.3907,0.4391,0.5093
9,9,141.43,-9725.4272,0.9999,0.3895,0.4353,0.5071
9,10,147.92,-9786.4808,0.9853,0.3822,0.4293,0.5028
9,11,145.05,-9790.1871,0.9861,0.3823,0.4273,0.5297
9,12,150.43,-9885.1363,0.9615,0.389,0.4347,0.5119
9,13,145.13,-9768.7573,0.983,0.3814,0.4233,0.5116
9,14,154.29,-9943.7875,0.9655,0.4067,0.4496,0.4998
9,15,137.85,-9682.8624,0.9999,0.3741,0.4225,0.5239
10,1,186.96,-25493.8692,0.9529,0.4164,0.4681,0.49
10,2,178.05,-25262.3915,0.9578,0.4011,0.453,0.5119
10,3,172.07,-24932.1088,0.9827,0.3828,0.4366,0.5329
10,4,177.79,-25310.5793,0.9599,0.4003,0.4555,0.5062
10,5,180.81,-25276.7394,0.9674,0.407,0.4544,0.5038
10,6,170.84,-24959.7752,0.9802,0.3879,0.4372,0.5235
10,7,186.93,-25531.0589,0.9469,0.4058,0.4633,0.5062
10,8,179.85,-25108.4656,0.9715,0.4014,0.4495,0.5037
10,9,186.76,-25382.7007,0.9552,0.4062,0.4585,0.5064
10,10,171.28,-25053.0126,0.9764,0.3906,0.4409,0.5148
10,11,178.69,-25215.4131,0.9658,0.3985,0.4518,0.5154
10,12,175.59,-25235.9598,0.9701,0.3985,0.4535,0.511
10,13,176.94,-25099.4,0.9703,0.3972,0.4517,0.4998
11,1,242.61,-65027.1797,0.9303,0.4395,0.496,0.4625
11,2,231.45,-64636.9049,0.9385,0.4259,0.4837,0.4739
11,3,233.42,-64836.3184,0.9366,0.423,0.4856,0.4851
11,4,234.61,-64960.3018,0.9348,0.4301,0.4874,0.4772
11,5,229.23,-64567.6389,0.9404,0.4215,0.4801,0.4807
11,6,225.2,-64660.7122,0.9396,0.4211,0.4808,0.4858
11,7,228.34,-64710.9828,0.9399,0.4238,0.4832,0.4901
11,8,222.74,-64383.0016,0.947,0.4191,0.4738,0.4898
11,9,223.05,-64260.3271,0.9457,0.4162,0.4717,0.4896
11,10,221.51,-64372.8739,0.9474,0.4158,0.4738,0.4876
11,11,224.49,-64378.5454,0.9487,0.4228,0.4796,0.4794
12,1,288.63,-163134.4219,0.9208,0.4452,0.5049,0.4584
12,2,275.57,-162493.9419,0.9262,0.4361,0.4955,0.4651
12,3,284.34,-162837.3663,0.9214,0.442,0.5029,0.4549
12,4,274.48,-163034.6963,0.9252,0.4386,0.5002,0.4654
12,5,282.83,-162886.1324,0.9231,0.4419,0.5027,0.4607
12,6,284.29,-163232.1043,0.9193,0.4407,0.5039,0.4597
12,7,284.34,-163165.8616,0.9213,0.4418,0.5038,0.4577
12,8,276.73,-162385.0002,0.9272,0.435,0.4933,0.4651
12,9,283.77,-163004.8748,0.9191,0.4452,0.5037,0.4574
12,10,276.06,-162741.819,0.9246,0.4376,0.4971,0.4664
13,1,351.69,-408299.5086,0.9048,0.4556,0.5228,0.4429
13,2,350.87,-408122.4761,0.9057,0.4576,0.5223,0.4446
13,3,356.9,-408582.5977,0.9039,0.4619,0.5238,0.4427
13,4,345.26,-407723.0672,0.9072,0.4535,0.519,0.4435
13,5,358.39,-409189.6519,0.9014,0.4629,0.5292,0.44
13,6,347.85,-408076.3027,0.9062,0.4515,0.5182,0.4485
13,7,350.98,-407158.8148,0.9091,0.4521,0.5183,0.4441
13,8,354.58,-408235.3993,0.904,0.4564,0.521,0.4415
13,9,357.27,-408593.8963,0.9026,0.4578,0.523,0.4402
14,1,437.77,-1013873.9906,0.8929,0.4664,0.5341,0.4316
14,2,437.81,-1013348.8216,0.8942,0.4659,0.5346,0.4305
14,3,437.58,-1013799.8964,0.8936,0.4657,0.5343,0.4329
14,4,438.79,-1013962.1252,0.8975,0.4652,0.5344,0.4351
14,5,436.07,-1013175.1831,0.8993,0.4645,0.5347,0.4339
14,6,431.77,-1011841.8999,0.8967,0.4636,0.5308,0.4338
14,7,442.25,-1013918.6668,0.8942,0.4674,0.5353,0.4311
14,8,441.57,-1013329.1239,0.8948,0.466,0.5342,0.4319
14,9,441.74,-1014789.0751,0.8955,0.4664,0.5352,0.435
15,1,644.56,-2505004.1283,0.8814,0.4753,0.546,0.4211
15,2,584.17,-2504680.7716,0.8859,0.4748,0.5466,0.4237
15,3,585.77,-2504248.9836,0.8816,0.4759,0.5457,0.4208
15,4,594.79,-2506773.3816,0.8809,0.4782,0.5484,0.4213
15,5,593.0,-2505554.7424,0.8803,0.4761,0.5471,0.4195
15,6,591.26,-2503463.6769,0.8825,0.4754,0.5454,0.4202
15,7,586.09,-2502457.2599,0.8831,0.475,0.5449,0.4202
15,8,577.78,-2504303.6485,0.8837,0.4745,0.5455,0.4232
15,9,576.84,-2503903.7696,0.8833,0.4763,0.5459,0.4213
15,10,579.96,-2504179.2977,0.8834,0.4754,0.5459,0.4213
15,11,582.04,-2504360.2398,0.8833,0.476,0.5469,0.4212
