k,sample,time,best_ll,theta_0,theta_1,theta_2,theta_3
19,1,796.76,-13614461.944,0.7851,0.5667,0.4562,0.2809
19,2,806.11,-13614509.1939,0.7856,0.5667,0.4555,0.2806
19,3,800.81,-13613101.8428,0.786,0.5665,0.4556,0.2809
19,4,782.44,-13613710.3191,0.7859,0.5675,0.4551,0.28
19,5,769.16,-13609910.1308,0.7864,0.5664,0.4555,0.2806
19,6,788.78,-13608623.5736,0.7859,0.5668,0.456,0.2802
19,7,772.41,-13612488.5457,0.7866,0.5657,0.455,0.2814
19,8,770.27,-13614617.5209,0.7807,0.5622,0.4501,0.2746
19,9,776.83,-13609088.6071,0.7854,0.567,0.4564,0.2803
19,10,775.0,-13615460.6734,0.7854,0.567,0.4559,0.2807
19,11,786.79,-13608130.8997,0.7859,0.5666,0.456,0.2805
19,12,759.97,-13611075.1464,0.7851,0.5672,0.4565,0.2801
19,13,768.79,-13613407.1418,0.7856,0.5669,0.4557,0.2804
19,14,768.23,-13611731.6797,0.7849,0.5673,0.4566,0.2802
19,15,768.36,-13610718.728,0.7856,0.5664,0.4561,0.2808
19,16,750.76,-13612668.3494,0.785,0.5688,0.4564,0.2793
19,17,776.66,-13611593.8572,0.7839,0.5684,0.4572,0.2791
19,18,768.39,-13611629.2738,0.7854,0.5672,0.4562,0.2805
19,19,807.98,-13613800.9856,0.7863,0.5665,0.4554,0.2812
19,20,771.15,-13614744.8468,0.7856,0.5672,0.4558,0.2807
19,21,762.42,-13606976.1224,0.7852,0.5676,0.4566,0.2796
19,22,801.91,-13611258.924,0.7858,0.5665,0.4559,0.2808
20,1,1467.11,-29884255.0607,0.7778,0.5573,0.4552,0.2982
20,2,1468.98,-29885955.9027,0.778,0.557,0.4552,0.2989
20,3,1449.15,-29898414.1771,0.7779,0.557,0.4548,0.2991
20,4,1420.72,-29893469.8729,0.7778,0.5568,0.455,0.2991
20,5,1441.96,-29895617.7156,0.7728,0.552,0.4498,0.2936
