k,sample,time,best_ll,theta_0,theta_1,theta_2,theta_3
4,29,88.32,-87.9179,0.9999,0.4733,0.5285,0.4286
4,30,91.97,-74.2337,0.9173,0.3997,0.3701,0.5878
5,1,84.58,-220.3406,0.97,0.4177,0.4842,0.4326
5,2,122.1,-254.633,0.9999,0.539,0.5675,0.3412
5,3,87.24,-242.5861,0.9845,0.4035,0.4308,0.5486
5,4,97.81,-242.4519,0.9999,0.4563,0.4819,0.4427
5,5,77.62,-211.6339,0.9999,0.4069,0.4094,0.4916
5,6,86.96,-233.2449,0.9999,0.4435,0.4324,0.5057
5,7,91.51,-244.4123,0.9999,0.4652,0.3988,0.5222
5,8,86.23,-227.1679,0.9999,0.4349,0.4263,0.4862
5,9,107.82,-255.5013,0.941,0.4709,0.5082,0.4879
5,10,78.47,-209.6805,0.9999,0.3455,0.3636,0.6454
5,11,104.99,-269.8689,0.9999,0.4763,0.4701,0.5067
5,12,90.3,-229.7608,0.9999,0.4595,0.4683,0.4281
5,13,93.54,-261.3422,0.9999,0.4746,0.4425,0.5404
5,14,75.53,-215.355,0.9999,0.4236,0.3867,0.5339
5,15,79.47,-196.8305,0.9476,0.4109,0.4225,0.4801
5,16,79.48,-224.6009,0.9999,0.4062,0.4127,0.5202
5,17,87.8,-223.5663,0.9999,0.4413,0.411,0.48
5,18,89.08,-240.1327,0.9999,0.4183,0.449,0.5113
5,19,70.52,-197.1905,0.9999,0.3679,0.3467,0.5561
5,20,111.22,-250.8452,0.8643,0.5169,0.4728,0.4995
5,21,89.12,-218.2446,0.9999,0.5276,0.4263,0.3775
5,22,75.16,-208.5756,0.9999,0.4167,0.4531,0.4217
5,23,81.81,-221.4501,0.9999,0.3788,0.39,0.5819
5,24,71.79,-205.477,0.9999,0.3951,0.3837,0.536
5,25,94.71,-228.7905,0.9999,0.4633,0.4685,0.4144
5,26,89.87,-205.4058,0.9999,0.4347,0.4082,0.4627
5,27,105.75,-253.2658,0.9999,0.4073,0.464,0.5578
5,28,110.06,-234.3719,0.9999,0.4545,0.4942,0.4185
6,1,81.44,-42.5384,0.9999,0.2742,0.3333,0.349
6,2,82.53,-44.4504,0.9999,0.2688,0.3103,0.4131
6,3,85.47,-47.3566,0.9999,0.3684,0.4409,0.1991
6,4,73.46,-47.4178,0.9999,0.3118,0.2592,0.4159
6,5,70.12,-43.9397,0.9999,0.2536,0.246,0.4712
6,6,72.17,-47.0762,0.9999,0.3008,0.2567,0.4658
6,7,78.29,-44.1093,0.9999,0.4074,0.2595,0.3077
6,8,75.83,-44.6907,0.9999,0.2894,0.2784,0.4194
6,9,78.21,-44.3616,0.9999,0.3445,0.3624,0.2682
6,10,78.73,-47.4997,0.9999,0.3467,0.345,0.3055
6,11,77.75,-47.7559,0.9999,0.3909,0.3863,0.2394
6,12,81.65,-49.7614,0.9999,0.4124,0.3799,0.2463
6,13,83.22,-45.7123,0.9999,0.3403,0.4106,0.2407
6,14,108.56,-46.538,0.9999,0.345,0.3049,0.3259
6,15,74.54,-48.0767,0.9999,0.4126,0.3831,0.2324
6,16,80.83,-50.7114,0.9536,0.3972,0.351,0.2892
6,17,99.31,-46.5628,0.9999,0.3409,0.3407,0.3075
7,1,110.39,-497.0745,0.8993,0.545,0.5193,0.284
7,2,117.2,-482.4132,0.968,0.4819,0.4813,0.3115
7,3,91.67,-483.2441,0.9999,0.4357,0.4281,0.3816
7,4,95.8,-475.9732,0.9999,0.4613,0.412,0.3657
7,5,89.67,-474.9151,0.9999,0.4251,0.4037,0.4173
7,6,137.2,-1631.7386,0.9701,0.4692,0.4725,0.4395
7,7,129.05,-1646.0407,0.9567,0.4438,0.4403,0.487
7,8,113.66,-1587.0472,0.9999,0.4242,0.4275,0.4961
7,9,114.85,-1612.2593,0.9999,0.4296,0.4426,0.4886
