k,sample,time,best_ll,theta_0,theta_1,theta_2,theta_3
5,4,100.14,-199.3269,0.9284,0.4179,0.4486,0.4628
5,5,93.6,-230.1632,0.9999,0.4063,0.4545,0.4915
5,6,80.3,-208.4551,0.9999,0.3845,0.3913,0.5269
5,7,88.69,-217.8401,0.9999,0.3784,0.4037,0.5415
5,8,91.81,-201.5117,0.9313,0.4261,0.4405,0.4659
5,9,94.11,-239.7172,0.9999,0.373,0.4063,0.6339
5,10,82.54,-204.2031,0.9999,0.4072,0.3743,0.5214
5,11,93.37,-234.7953,0.9788,0.3977,0.4137,0.6041
5,12,94.94,-230.893,0.9947,0.3458,0.4151,0.5929
5,13,89.3,-224.9218,0.9824,0.3662,0.3624,0.6335
5,14,117.31,-251.6581,0.8603,0.4099,0.4456,0.6863
5,15,94.08,-210.7835,0.9663,0.3586,0.3901,0.6015
5,16,81.83,-222.9849,0.9999,0.3766,0.437,0.5519
5,17,106.39,-250.142,0.9948,0.3462,0.3923,0.6857
5,18,86.72,-221.6089,0.9999,0.4005,0.4607,0.4889
5,19,91.93,-224.2625,0.9999,0.3983,0.4466,0.493
5,20,78.43,-185.0058,0.9999,0.3444,0.444,0.4524
5,21,97.37,-229.7025,0.9999,0.4021,0.4337,0.5125
5,22,99.21,-236.3017,0.99,0.384,0.4197,0.6116
5,23,104.82,-260.9743,0.9864,0.4308,0.4709,0.562
6,1,93.11,-563.0294,0.9946,0.3615,0.3797,0.565
6,2,92.38,-532.7854,0.9999,0.3212,0.3977,0.5639
6,3,50.85,-22.7583,0.9999,0.1385,0.1218,0.4062
6,4,72.08,-16.574,0.9999,0.0642,0.0583,0.5177
6,5,72.11,-16.5904,0.9999,0.0663,0.0561,0.5159
6,6,64.34,-12.0661,0.9999,0.0921,0.1027,0.7464
6,7,60.91,-12.4649,0.9999,0.1011,0.0958,0.7358
6,8,82.13,-8.4547,0.9999,0.0554,0.0486,0.7451
6,9,95.62,-550.4209,0.9787,0.4217,0.4027,0.4957
6,10,58.67,-20.2101,0.9999,0.0819,0.0992,0.4746
6,11,56.3,-19.1976,0.9999,0.1106,0.0988,0.3972
6,12,70.74,-16.563,0.9999,0.069,0.0574,0.5188
6,13,81.72,-8.5996,0.9999,0.0562,0.0502,0.7337
6,14,82.52,-8.4734,0.9999,0.05,0.0556,0.7454
6,15,58.93,-22.2771,0.9756,0.1214,0.1215,0.4179
6,16,68.74,-12.055,0.9999,0.102,0.093,0.7463
6,17,66.07,-12.0694,0.9999,0.0923,0.1019,0.7467
6,18,82.05,-8.4401,0.9999,0.0549,0.0436,0.7454
6,19,49.92,-22.6776,0.9999,0.1224,0.1389,0.3999
6,20,58.67,-19.5351,0.9999,0.0921,0.1005,0.4527
6,21,52.09,-26.6788,0.8529,0.2145,0.1922,0.3906
6,22,82.27,-8.5892,0.9999,0.0591,0.0476,0.7345
6,23,91.85,-8.1126,0.9999,0.0668,0.0412,0.7453
6,24,65.69,-12.0697,0.9999,0.1029,0.0923,0.7459
6,25,66.08,-12.1186,0.9999,0.0878,0.1083,0.7449
6,26,54.53,-19.2209,0.9999,0.1031,0.1073,0.4048
6,27,58.67,-20.2769,0.9999,0.0962,0.0914,0.4692
6,28,67.17,-12.1419,0.9999,0.109,0.0847,0.7457
6,29,114.55,-3.1653,0.9999,0.0001,0.0001,0.7436
6,30,58.64,-19.6275,0.9999,0.0843,0.1105,0.4465
7,1,62.28,-277.1034,0.9999,0.2129,0.3107,0.5056
7,2,64.47,-287.4194,0.9947,0.2601,0.3456,0.407
7,3,65.01,-291.7024,0.9947,0.2129,0.353,0.4441
7,4,65.72,-289.7283,0.9999,0.2454,0.3506,0.4102
7,5,69.76,-309.635,0.9271,0.2776,0.4009,0.4282
7,6,64.47,-281.9421,0.9999,0.217,0.3436,0.432
7,7,63.2,-286.0294,0.9999,0.2487,0.3423,0.4479
7,8,65.95,-276.6069,0.9999,0.2108,0.3029,0.5152
7,9,67.48,-304.7158,0.9826,0.2557,0.4002,0.3981
7,10,62.48,-269.4172,0.9904,0.2171,0.3183,0.4615
7,11,62.74,-279.6355,0.9999,0.2112,0.3064,0.487
7,12,65.69,-287.0301,0.9948,0.2259,0.3383,0.4424
7,13,66.75,-298.3817,0.8876,0.2693,0.342,0.5005
7,14,62.46,-274.9072,0.9999,0.2204,0.3166,0.4892
7,15,70.14,-307.1798,0.9625,0.2665,0.383,0.4065
7,16,60.7,-266.9118,0.9999,0.2016,0.3114,0.5054
7,17,63.02,-288.0657,0.9999,0.2185,0.3573,0.4571
7,18,60.86,-287.5056,0.9941,0.2028,0.312,0.5069
7,19,73.05,-310.8939,0.9162,0.2854,0.4263,0.405
7,20,65.92,-272.6961,0.9999,0.2007,0.3194,0.474
7,21,63.5,-279.7291,0.9999,0.2315,0.3228,0.4801
7,22,59.43,-270.5065,0.9999,0.2228,0.2888,0.4949
7,23,62.56,-284.8343,0.9999,0.2346,0.3304,0.4638
7,24,66.1,-295.102,0.9999,0.2292,0.36,0.453
7,25,67.12,-292.5033,0.9989,0.2392,0.3338,0.4731
7,26,61.63,-287.574,0.9678,0.2364,0.3246,0.4791
7,27,65.79,-282.2213,0.9946,0.2352,0.3144,0.4615
