k,sample,time,best_ll,theta_0,theta_1,theta_2,theta_3
7,1,51.91,-280.6306,0.9686,0.469,0.6181,0.0442
7,2,55.6,-284.8041,0.9999,0.4412,0.5902,0.064
7,3,49.72,-261.8263,0.9575,0.484,0.6067,0.0173
7,4,48.62,-278.7682,0.9478,0.4951,0.6228,0.0379
7,5,45.28,-236.7386,0.9889,0.5332,0.5887,0.0001
7,6,65.8,-272.7119,0.9999,0.453,0.5362,0.0836
7,7,50.55,-260.585,0.9999,0.4813,0.5814,0.0232
7,8,45.86,-240.6271,0.9781,0.4878,0.6161,0.0038
7,9,52.1,-284.9874,0.985,0.4845,0.5855,0.0617
7,10,56.87,-262.2178,0.9947,0.4735,0.5461,0.0424
7,11,51.95,-276.3552,0.9999,0.4767,0.5968,0.0392
7,12,45.16,-258.0062,0.9673,0.4998,0.628,0.0067
7,13,48.21,-265.5909,0.9999,0.4592,0.6044,0.0318
7,14,64.11,-288.4923,0.9999,0.4172,0.5638,0.1006
7,15,59.19,-284.5906,0.9999,0.439,0.576,0.0763
7,16,56.34,-282.6212,0.9809,0.4801,0.5716,0.0679
7,17,49.74,-277.2534,0.9745,0.4789,0.5914,0.0501
7,18,57.61,-300.3336,0.9999,0.4452,0.5678,0.0916
7,19,54.97,-253.9777,0.9988,0.4822,0.6183,0.0169
7,20,55.49,-279.0839,0.9999,0.4701,0.5458,0.073
7,21,58.85,-276.9267,0.9999,0.4583,0.5773,0.0465
7,22,48.32,-274.3252,0.9948,0.4389,0.6148,0.0299
7,23,47.21,-253.3011,0.9999,0.4632,0.5939,0.0136
7,24,50.25,-267.4524,0.9954,0.4793,0.6065,0.0308
7,25,45.03,-267.3323,0.9483,0.476,0.6304,0.0177
7,26,48.2,-276.7873,0.9292,0.4689,0.6394,0.0232
7,27,42.37,-243.7992,0.9568,0.5104,0.6197,0.0001
7,28,49.88,-272.4856,0.9933,0.4401,0.62,0.0267
7,29,56.81,-288.4956,0.9947,0.4438,0.5863,0.0573
7,30,47.63,-238.3482,0.9947,0.466,0.6099,0.0001
8,1,149.43,-3551.3715,0.9946,0.5184,0.5528,0.2287
8,2,110.46,-3500.087,0.9577,0.5452,0.6039,0.1862
8,3,132.21,-3518.1349,0.9947,0.5116,0.567,0.2191
8,4,142.9,-3556.2512,0.9947,0.5183,0.5495,0.2318
8,5,126.25,-3534.9139,0.9898,0.5189,0.5767,0.2099
8,6,121.67,-3487.6742,0.978,0.53,0.5851,0.1997
8,7,115.37,-3518.7039,0.9478,0.5422,0.5999,0.1992
8,8,139.86,-3512.5504,0.9947,0.507,0.5691,0.2204
8,9,137.53,-3523.8931,0.9947,0.5176,0.5473,0.231
8,10,125.18,-3543.0908,0.9838,0.5257,0.5778,0.2085
8,11,122.16,-3606.3348,0.9448,0.5578,0.59,0.2219
8,12,125.01,-3531.9879,0.9669,0.5289,0.5891,0.2072
8,13,138.75,-3554.1949,0.9781,0.5147,0.5754,0.2232
8,14,128.25,-3504.4721,0.9849,0.5346,0.5688,0.2062
8,15,133.01,-3524.5029,0.9902,0.5257,0.554,0.2219
8,16,119.37,-3500.9208,0.9664,0.5291,0.5985,0.1973
8,17,151.94,-3577.8925,0.9999,0.5158,0.5499,0.2493
8,18,125.26,-3581.463,0.9645,0.5306,0.5895,0.2285
8,19,137.09,-3556.363,0.9822,0.5294,0.5627,0.2203
8,20,125.32,-3507.6632,0.9839,0.5292,0.5732,0.2074
8,21,155.51,-3592.6929,0.9948,0.5052,0.5536,0.2416
8,22,134.47,-3502.2597,0.9919,0.5167,0.5659,0.2166
8,23,131.53,-3589.2393,0.9806,0.5163,0.5769,0.2216
8,24,130.6,-3536.6625,0.9905,0.5223,0.5538,0.2263
8,25,108.47,-3412.8959,0.9566,0.5502,0.6077,0.1738
8,26,115.51,-3558.3415,0.9573,0.5405,0.6008,0.1974
8,27,141.59,-3546.9851,0.9949,0.5282,0.539,0.2319
8,28,113.08,-3498.0453,0.9571,0.5593,0.5872,0.1886
8,29,118.0,-3545.1741,0.977,0.535,0.5597,0.2208
8,30,113.32,-3519.846,0.9862,0.5295,0.5684,0.2101
9,1,152.63,-9169.5954,0.9835,0.5238,0.5647,0.2262
9,2,138.86,-9127.6913,0.9779,0.5281,0.5867,0.2067
9,3,153.41,-9193.1378,0.9946,0.5068,0.5669,0.2303
9,4,145.16,-9096.7941,0.9819,0.5284,0.5733,0.2143
9,5,158.63,-9184.6202,0.9637,0.5481,0.5835,0.2044
9,6,148.94,-9109.5861,0.9895,0.5201,0.5716,0.2173
9,7,147.93,-9148.8301,0.9781,0.5252,0.5765,0.2183
9,8,157.92,-9045.0071,0.9948,0.5134,0.5609,0.2268
9,9,139.83,-9140.9615,0.9631,0.5379,0.5875,0.2093
9,10,141.99,-9222.151,0.9632,0.5409,0.5981,0.2177
9,11,144.18,-9036.0982,0.9808,0.5334,0.5749,0.2082
9,12,155.2,-9121.3851,0.9911,0.5128,0.5658,0.2271
9,13,143.94,-9137.5927,0.9799,0.5187,0.5797,0.2187
9,14,130.28,-9050.3572,0.9558,0.5484,0.5987,0.1933
9,15,140.44,-9059.4096,0.9725,0.5467,0.5997,0.2012
9,16,140.62,-9137.3804,0.9786,0.5198,0.5906,0.2099
9,17,135.91,-9124.34,0.9474,0.5438,0.6011,0.2032
9,18,157.36,-9246.7309,0.9825,0.5188,0.5741,0.2248
9,19,145.1,-9114.3732,0.9712,0.5383,0.5812,0.2077
9,20,140.31,-9141.9331,0.9695,0.5437,0.5788,0.2078
9,21,144.94,-9093.5426,0.9946,0.5203,0.5685,0.215
9,22,138.54,-9132.3679,0.9854,0.5235,0.5956,0.2159
9,23,135.81,-9086.1939,0.9708,0.5355,0.585,0.2068
9,24,138.56,-9086.6752,0.9708,0.5361,0.5814,0.2088
9,25,154.41,-9157.7126,0.9807,0.5201,0.5745,0.2224
9,26,131.61,-9208.2054,0.9776,0.5286,0.585,0.2287
9,27,125.92,-9062.3351,0.9881,0.5277,0.5731,0.2098
9,28,134.1,-9094.5618,0.9929,0.5087,0.5728,0.2224
9,29,132.08,-9105.5248,0.9903,0.5194,0.5705,0.2185
9,30,125.47,-9022.2515,0.9759,0.5296,0.584,0.2071
10,1,163.13,-23137.688,0.9855,0.5423,0.5773,0.2168
10,2,173.84,-23311.4828,0.9925,0.5198,0.5798,0.2299
10,3,152.9,-23095.0346,0.9697,0.5435,0.6056,0.2036
10,4,196.06,-23264.3248,0.9867,0.5254,0.5827,0.2259
10,5,164.42,-23021.9794,0.9894,0.5348,0.5814,0.2155
10,6,158.43,-23094.2154,0.9811,0.5435,0.5874,0.2107
10,7,160.64,-23086.7421,0.9829,0.5319,0.5941,0.2127
10,8,174.59,-23151.1469,0.9953,0.5237,0.5828,0.2211
10,9,159.9,-23093.1087,0.9748,0.5408,0.6005,0.2058
10,10,154.48,-22967.9073,0.9749,0.5454,0.5998,0.2015
10,11,172.13,-23325.2668,0.9856,0.5282,0.5813,0.2271
10,12,166.13,-23319.9066,0.9788,0.5384,0.5855,0.2199
10,13,168.02,-23204.2704,0.9802,0.5401,0.5832,0.2181
10,14,161.25,-23191.3404,0.9853,0.5323,0.5899,0.2148
10,15,163.53,-23071.6121,0.982,0.539,0.5892,0.2117
10,16,164.19,-23061.5845,0.9795,0.5408,0.5888,0.2122
10,17,156.92,-23048.1433,0.9746,0.5369,0.6047,0.2056
10,18,153.52,-23012.1515,0.9689,0.5489,0.599,0.204
