k,sample,time,best_ll,theta_0,theta_1,theta_2,theta_3
5,26,62.32,-123.8004,0.9999,0.2226,0.2686,0.5896
5,27,69.85,-152.8154,0.9943,0.2794,0.2977,0.6061
5,28,71.35,-137.4336,0.9999,0.212,0.2206,0.7258
5,29,58.62,-114.844,0.9999,0.2137,0.2016,0.6325
5,30,69.25,-168.6139,0.9999,0.3876,0.3056,0.5093
6,1,61.48,-12.4504,0.9999,0.1012,0.0957,0.7362
6,2,81.13,-8.4583,0.9999,0.0453,0.059,0.7458
6,3,81.83,-8.5927,0.9999,0.0479,0.0569,0.7355
6,4,58.38,-22.3508,0.9751,0.1212,0.1224,0.4179
6,5,82.46,-8.6041,0.9999,0.0497,0.0566,0.735
6,6,82.0,-8.6048,0.9999,0.0613,0.0482,0.7354
6,7,60.7,-12.4627,0.9999,0.1014,0.0954,0.736
6,8,60.7,-12.4547,0.9999,0.1013,0.0954,0.7375
6,9,63.95,-12.432,0.9999,0.104,0.0883,0.7364
6,10,59.59,-19.1805,0.9999,0.1129,0.1004,0.4007
6,11,60.74,-12.4646,0.9999,0.0929,0.1032,0.7369
6,12,125.78,-3.1653,0.9999,0.0001,0.0001,0.7436
7,1,71.35,-816.1094,0.9808,0.2711,0.2711,0.5677
7,2,73.09,-827.3533,0.9677,0.2818,0.2876,0.5568
7,3,73.45,-768.5403,0.9922,0.2576,0.2542,0.6105
7,4,69.0,-791.9879,0.9948,0.2643,0.2666,0.5584
7,5,68.33,-759.088,0.9947,0.2499,0.2418,0.5962
7,6,68.25,-750.8297,0.9999,0.2455,0.2495,0.6164
7,7,70.21,-802.0973,0.9999,0.2697,0.2623,0.5928
7,8,71.14,-780.7503,0.9921,0.2528,0.2441,0.6033
7,9,71.93,-790.0617,0.9786,0.2522,0.2571,0.5972
7,10,76.76,-830.9938,0.9529,0.2935,0.2942,0.5783
7,11,69.37,-751.2344,0.9999,0.2428,0.2442,0.6077
7,12,80.61,-781.6085,0.9999,0.2477,0.2506,0.6213
8,1,67.65,-1953.1861,0.9868,0.2712,0.2649,0.5818
8,2,68.15,-2008.4918,0.9804,0.2646,0.2795,0.5636
8,3,65.53,-1962.1451,0.9948,0.2679,0.2798,0.5532
8,4,68.31,-1952.5354,0.9833,0.2508,0.2527,0.6069
8,5,70.22,-2040.4088,0.9655,0.2894,0.2896,0.5568
8,6,67.14,-1929.103,0.9999,0.267,0.2674,0.5991
8,7,68.51,-2032.6818,0.9755,0.2894,0.2912,0.5788
8,8,67.3,-1938.279,0.9923,0.2559,0.2524,0.6052
8,9,70.95,-1989.5935,0.9453,0.2649,0.2624,0.6213
8,10,65.39,-1915.648,0.9946,0.259,0.2657,0.5775
