k,sample,time,best_ll,theta_0,theta_1,theta_2,theta_3
4,30,42.24,-54.2049,0.9999,0.6265,0.5376,0.0746
5,1,83.08,-194.7383,0.9999,0.5015,0.5959,0.2222
5,2,73.57,-181.2622,0.9848,0.4838,0.5498,0.2147
5,3,68.19,-211.3932,0.9999,0.5984,0.621,0.1676
5,4,84.16,-196.3183,0.9999,0.4918,0.6159,0.2005
5,5,81.23,-160.5926,0.9999,0.4618,0.5505,0.1745
5,6,80.5,-198.9318,0.9999,0.4142,0.52,0.3449
5,7,96.11,-181.8673,0.9999,0.4828,0.539,0.2272
5,8,79.95,-217.8972,0.9999,0.5039,0.6591,0.2112
5,9,70.31,-173.7965,0.9999,0.4273,0.6268,0.1843
5,10,84.58,-214.8075,0.9999,0.5146,0.6433,0.2017
5,11,69.25,-179.6179,0.9999,0.4846,0.5986,0.1815
5,12,82.84,-191.0195,0.9948,0.4583,0.5776,0.2258
5,13,78.97,-170.6418,0.9999,0.3968,0.539,0.2706
5,14,84.11,-208.2036,0.9999,0.5277,0.6024,0.2208
5,15,94.7,-177.9016,0.9999,0.4873,0.5258,0.2365
5,16,67.9,-192.4647,0.9871,0.5153,0.6269,0.1785
5,17,85.04,-206.4945,0.9999,0.5176,0.5893,0.2335
5,18,86.46,-201.4228,0.9999,0.5036,0.5964,0.2184
5,19,97.18,-212.0879,0.9999,0.4995,0.5402,0.2977
5,20,56.05,-169.07,0.958,0.5975,0.6048,0.1155
5,21,87.5,-170.746,0.9999,0.4204,0.5539,0.2286
5,22,42.87,-152.7782,0.9999,0.6066,0.6454,0.0433
5,23,53.03,-171.3038,0.9999,0.6165,0.5947,0.1081
5,24,61.08,-194.6329,0.9427,0.5919,0.6371,0.1372
5,25,62.78,-173.6604,0.9928,0.5609,0.5667,0.1367
5,26,59.03,-198.93,0.9523,0.627,0.6143,0.1383
5,27,63.18,-189.2217,0.9426,0.4762,0.6742,0.1606
5,28,45.97,-128.6391,0.9999,0.5877,0.5326,0.0644
5,29,51.35,-176.432,0.9999,0.6176,0.691,0.084
5,30,56.57,-155.5755,0.9999,0.569,0.5187,0.1392
6,1,53.08,-30.297,0.9999,0.4029,0.3622,0.0628
6,2,42.73,-28.8158,0.9428,0.5108,0.3666,0.0001
6,3,31.33,-18.1913,0.9048,0.6588,0.8371,0.0001
6,4,28.31,-16.7952,0.5819,0.9079,0.849,0.0001
6,5,45.49,-27.1605,0.9999,0.4105,0.4594,0.0001
6,6,43.46,-26.4438,0.9999,0.4192,0.4249,0.0001
6,7,49.61,-25.8369,0.9999,0.4678,0.3604,0.0001
6,8,43.01,-27.3269,0.9999,0.4998,0.3619,0.0001
6,9,44.56,-25.682,0.9999,0.3989,0.451,0.0001
6,10,44.62,-27.7554,0.9999,0.3332,0.5211,0.0001
6,11,44.92,-27.8664,0.9746,0.4783,0.3947,0.0001
6,12,51.39,-31.5958,0.9999,0.3561,0.4452,0.0454
6,13,53.12,-29.8963,0.9614,0.4657,0.4649,0.0001
6,14,41.53,-21.6391,0.9999,0.6989,0.6295,0.0735
6,15,47.93,-27.9947,0.9999,0.4113,0.4597,0.0001
6,16,38.53,-17.1084,0.9999,0.603,0.792,0.0001
6,17,29.76,-17.5169,0.85,0.7452,0.7451,0.0001
6,18,52.16,-30.3453,0.9999,0.3606,0.4062,0.0624
6,19,46.27,-27.9364,0.9999,0.4628,0.4177,0.0001
6,20,45.71,-26.4114,0.9999,0.4381,0.3919,0.0001
6,21,48.18,-21.5505,0.9579,0.6855,0.6871,0.0726
6,22,51.22,-28.692,0.9999,0.3627,0.4099,0.0585
6,23,45.36,-27.8913,0.9999,0.4525,0.4057,0.0001
6,24,34.69,-17.0756,0.9999,0.7002,0.7286,0.0001
6,25,38.8,-16.7351,0.9999,0.7216,0.7033,0.0001
6,26,46.98,-25.0412,0.9999,0.4428,0.3869,0.0001
6,27,44.41,-26.4887,0.9999,0.4453,0.3939,0.0001
6,28,44.25,-27.4667,0.9999,0.4334,0.4328,0.0001
6,29,43.13,-25.1661,0.9999,0.4048,0.409,0.0001
6,30,52.86,-31.5227,0.9999,0.3854,0.3885,0.0592
7,1,56.58,-231.2762,0.9999,0.4651,0.4772,0.0635
7,2,48.89,-243.4964,0.9866,0.4882,0.5328,0.0489
7,3,45.23,-228.755,0.9944,0.5055,0.4966,0.0395
7,4,58.98,-247.4501,0.9999,0.4668,0.4807,0.0853
7,5,38.74,-209.1282,0.9201,0.5321,0.5428,0.0001
7,6,57.93,-247.2912,0.9999,0.4813,0.4729,0.0852
7,7,47.33,-235.0326,0.9999,0.4872,0.5049,0.0473
7,8,39.52,-218.7761,0.9743,0.5311,0.5432,0.0142
7,9,48.02,-229.7609,0.9988,0.4449,0.5438,0.0412
7,10,46.09,-230.5285,0.9567,0.5142,0.5061,0.0261
7,11,45.44,-229.0087,0.9632,0.4752,0.5353,0.0267
7,12,43.87,-231.7541,0.9852,0.5302,0.4951,0.0378
7,13,48.63,-224.4151,0.9999,0.474,0.4786,0.0407
7,14,46.33,-228.7454,0.9947,0.5077,0.4793,0.0328
7,15,40.55,-200.7878,0.9426,0.5247,0.5443,0.0001
7,16,54.71,-230.996,0.9999,0.4681,0.476,0.057
7,17,73.91,-246.7063,0.9999,0.3948,0.4721,0.1393
7,18,50.97,-226.3365,0.9999,0.4562,0.5038,0.0454
7,19,55.12,-236.5327,0.9947,0.4757,0.4715,0.0623
7,20,44.32,-229.6691,0.9765,0.4895,0.528,0.0452
7,21,43.47,-237.3563,0.9983,0.5019,0.5092,0.0431
7,22,61.37,-251.5889,0.9999,0.4703,0.4564,0.1018
7,23,49.81,-240.0367,0.9927,0.491,0.4964,0.0554
7,24,40.39,-218.7552,0.9606,0.5181,0.5344,0.009
7,25,53.21,-227.1465,0.9999,0.45,0.5214,0.0594
7,26,44.55,-229.1964,0.9741,0.5198,0.5016,0.0406
7,27,58.5,-233.4247,0.9999,0.4592,0.4696,0.07
7,28,50.07,-228.0118,0.9948,0.4793,0.5067,0.0282
7,29,60.63,-249.7035,0.9999,0.4331,0.4842,0.0844
7,30,55.87,-245.3122,0.9999,0.4828,0.4607,0.0692
8,1,60.39,-1489.5673,0.9929,0.4671,0.5408,0.0596
8,2,55.67,-1404.5218,0.9753,0.5167,0.573,0.0299
8,3,59.4,-1457.3034,0.9753,0.4763,0.5601,0.0512
8,4,63.54,-1530.9727,0.9963,0.4803,0.5332,0.081
8,5,59.28,-1488.6577,0.9815,0.4855,0.555,0.041
8,6,59.81,-1477.1439,0.9999,0.4765,0.5605,0.0571
8,7,59.68,-1473.8418,0.9771,0.4903,0.5557,0.0453
8,8,62.01,-1496.3668,0.9999,0.4751,0.5463,0.0659
8,9,61.29,-1519.1612,0.9999,0.4633,0.5587,0.0723
8,10,62.03,-1516.9491,0.9857,0.4905,0.5594,0.0689
8,11,61.77,-1513.8859,0.9999,0.4819,0.5506,0.0725
8,12,63.82,-1544.1099,0.9948,0.4574,0.5393,0.0763
8,13,61.15,-1521.6437,0.9887,0.4702,0.5446,0.0613
8,14,59.69,-1437.4026,0.9999,0.4897,0.5428,0.0524
8,15,52.81,-1398.6401,0.969,0.5166,0.5782,0.0306
8,16,60.68,-1506.8551,0.9742,0.4701,0.5672,0.0549
8,17,58.74,-1488.9073,0.9845,0.4864,0.5576,0.0655
8,18,51.61,-1376.5359,0.9492,0.5319,0.6028,0.0196
8,19,62.02,-1488.2393,0.9865,0.4811,0.54,0.06
8,20,57.48,-1458.0312,0.978,0.4868,0.5889,0.038
8,21,58.4,-1479.2878,0.9999,0.4844,0.5532,0.0572
8,22,66.69,-1532.2991,0.9999,0.4722,0.5421,0.0815
8,23,58.59,-1479.6421,0.9894,0.4851,0.5638,0.0604
8,24,58.54,-1469.0748,0.9857,0.4945,0.5494,0.056
8,25,64.43,-1503.6614,0.9999,0.4655,0.556,0.0649
8,26,60.0,-1502.024,0.9853,0.4735,0.5496,0.0569
8,27,57.99,-1476.496,0.9627,0.4971,0.5432,0.0367
8,28,60.03,-1488.5854,0.9999,0.4627,0.5634,0.0614
8,29,59.07,-1442.0845,0.9999,0.4768,0.5608,0.0419
8,30,52.38,-1441.769,0.9381,0.518,0.5761,0.0345
9,1,90.13,-5791.2338,0.9999,0.492,0.5741,0.1432
9,2,77.49,-5605.1056,0.9558,0.5217,0.6037,0.0985
9,3,88.57,-5816.9351,0.976,0.499,0.5728,0.1356
9,4,86.01,-5766.302,0.9781,0.5044,0.5891,0.1336
9,5,84.15,-5671.9126,0.9711,0.5129,0.5697,0.1247
9,6,114.94,-8488.1302,0.9653,0.5266,0.6002,0.2046
