k,sample,time,best_ll,theta_0,theta_1,theta_2,theta_3
4,6,63.48,-39.0687,0.8337,0.5406,0.403,0.0758
4,7,84.05,-57.33,0.8667,0.5277,0.4687,0.2193
4,8,47.88,-54.9372,0.7346,0.7136,0.5292,0.0987
4,9,82.09,-51.4344,0.7385,0.5004,0.4048,0.281
4,10,80.5,-57.8887,0.9465,0.3941,0.3528,0.3934
4,11,33.18,-36.6621,0.7867,0.6225,0.5652,0.0001
4,12,73.56,-39.697,0.9033,0.4654,0.3503,0.1346
4,13,59.53,-51.5591,0.5366,0.637,0.6303,0.1797
4,14,71.11,-56.4913,0.876,0.5447,0.5181,0.1505
4,15,84.24,-54.5693,0.8971,0.427,0.4479,0.2543
4,16,80.03,-58.3179,0.9127,0.4448,0.5513,0.2025
4,17,49.76,-50.5054,0.9444,0.5836,0.4618,0.0805
4,18,91.05,-64.459,0.9999,0.54,0.4556,0.2067
4,19,90.72,-48.3718,0.7397,0.4248,0.4213,0.3046
4,20,58.82,-58.0322,0.965,0.5819,0.5699,0.103
4,21,29.98,-44.369,0.6776,0.7794,0.6513,0.0001
4,22,61.73,-56.8415,0.9325,0.5028,0.5664,0.1432
4,23,24.52,-35.2134,0.4735,0.7716,0.6782,0.004
4,24,54.91,-52.0492,0.8723,0.6193,0.524,0.0742
4,25,93.54,-48.8064,0.888,0.462,0.4329,0.1814
4,26,88.27,-59.4893,0.9954,0.4935,0.4183,0.2409
4,27,58.24,-55.7588,0.6139,0.6635,0.6485,0.1298
4,28,47.33,-26.6024,0.6449,0.4366,0.4803,0.0519
4,29,48.01,-50.227,0.6486,0.6941,0.6149,0.0736
4,30,85.55,-55.8333,0.9999,0.4375,0.4558,0.2055
5,1,90.59,-146.3752,0.9999,0.4597,0.4004,0.2653
5,2,83.51,-202.4541,0.9999,0.6102,0.535,0.184
5,3,38.33,-113.1734,0.748,0.7599,0.5941,0.0001
5,4,76.87,-115.1993,0.8944,0.4284,0.4039,0.2487
5,5,61.33,-136.6247,0.8133,0.5807,0.5527,0.142
5,6,78.94,-127.5276,0.7652,0.5031,0.5232,0.1984
5,7,54.56,-127.8593,0.7963,0.5586,0.569,0.1098
5,8,77.43,-133.3076,0.675,0.5366,0.6096,0.2016
5,9,76.35,-143.6836,0.8389,0.5342,0.5087,0.2118
5,10,65.65,-111.0161,0.8379,0.4857,0.4482,0.1668
5,11,78.94,-150.7515,0.8951,0.5586,0.4634,0.1873
5,12,78.78,-117.6638,0.8674,0.4584,0.4506,0.2107
5,13,44.65,-119.5506,0.8237,0.6489,0.5364,0.0615
5,14,58.09,-119.0881,0.7473,0.5801,0.5403,0.1337
5,15,31.73,-84.5608,0.608,0.6685,0.658,0.0001
5,16,49.53,-125.6241,0.8606,0.6525,0.4737,0.0883
5,17,91.68,-176.499,0.8258,0.5558,0.5485,0.2399
5,18,52.58,-119.9353,0.7569,0.6319,0.5135,0.1109
5,19,84.13,-134.6275,0.8842,0.439,0.3797,0.314
5,20,84.86,-125.9203,0.8317,0.4374,0.342,0.3754
5,21,96.39,-167.8389,0.8517,0.5476,0.494,0.2456
5,22,81.7,-125.7411,0.774,0.5391,0.4997,0.178
5,23,73.2,-125.842,0.7143,0.4962,0.5783,0.1874
5,24,100.06,-171.6321,0.8821,0.4877,0.3779,0.3843
5,25,54.01,-139.1806,0.8295,0.5629,0.5939,0.1254
5,26,34.78,-114.17,0.7562,0.7031,0.6234,0.0008
5,27,71.74,-147.9634,0.7044,0.6533,0.5398,0.173
5,28,59.07,-128.179,0.6786,0.6258,0.5772,0.1539
5,29,82.72,-104.9581,0.9693,0.4497,0.3629,0.1832
5,30,47.71,-118.1381,0.7635,0.6251,0.6261,0.0647
7,1,41.93,-1.2904,0.0001,0.6155,0.6206,0.0001
7,2,42.09,-1.2904,0.0001,0.6154,0.6207,0.0001
7,3,41.06,-1.2904,0.0001,0.6154,0.6207,0.0001
7,4,43.16,-1.2904,0.0001,0.6154,0.6207,0.0001
7,5,41.8,-1.2904,0.0001,0.6155,0.6206,0.0001
8,1,92.42,-1749.2537,0.7746,0.5903,0.4894,0.202
8,2,83.43,-1700.1575,0.7679,0.5779,0.5208,0.186
8,3,120.39,-1764.9622,0.8308,0.5271,0.4232,0.2713
8,4,117.29,-1783.1672,0.7982,0.5307,0.4647,0.2633
8,5,87.64,-1752.2286,0.7393,0.5888,0.5244,0.2034
8,6,100.83,-1738.7305,0.8106,0.5226,0.4834,0.2189
8,7,90.02,-1706.3645,0.792,0.5647,0.4862,0.1886
8,8,71.56,-1694.2538,0.731,0.6172,0.5481,0.1594
8,9,98.11,-1744.4594,0.8076,0.5257,0.459,0.2374
8,10,93.44,-1722.4702,0.8297,0.5397,0.4539,0.2112
8,11,104.52,-1758.8176,0.8041,0.5285,0.4757,0.2469
8,12,109.71,-1756.7311,0.8299,0.5212,0.4496,0.2553
8,13,88.77,-1753.8002,0.7162,0.6184,0.5369,0.1954
8,14,92.66,-1738.0098,0.7737,0.5536,0.4956,0.2089
8,15,115.37,-1746.7406,0.8505,0.4936,0.4174,0.2713
8,16,100.26,-1762.2701,0.8034,0.5614,0.4685,0.2237
8,17,70.88,-1661.5141,0.7437,0.6161,0.5506,0.1447
8,18,105.07,-1758.998,0.8052,0.5415,0.4622,0.2453
8,19,99.99,-1770.3413,0.7717,0.529,0.5076,0.2276
8,20,102.15,-1759.9655,0.801,0.5531,0.4647,0.236
8,21,105.63,-1755.0122,0.8038,0.5161,0.4707,0.2426
8,22,107.19,-1749.6815,0.8228,0.5111,0.4498,0.2494
8,23,80.24,-1707.1974,0.7688,0.6058,0.5021,0.1777
