k,s,total_time_seconds,best_log_likelihood,P00,P01,P10,P11,full_fit,gradient_gpu,init_cpu_gpu,mcmc_cpu,optimizer_gpu,transfer_pcie,warm_up_mcmc_cpu
1,1,4.507663249969482,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,4.5051233768463135,2.8634469509124756,0.0024983882904052734,0.9954259395599365,0.09012579917907715,0.4370400905609131,0.00087738037109375
1,2,4.041980981826782,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,4.039490222930908,2.5032026767730713,0.0024602413177490234,0.9064795970916748,0.08480978012084961,0.4259781837463379,0.0009012222290039062
1,3,3.568535804748535,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,3.566725492477417,1.959519863128662,0.0017833709716796875,0.9603946208953857,0.0810861587524414,0.42732715606689453,0.0009739398956298828
1,4,4.171014785766602,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,4.168712615966797,2.551391124725342,0.0022733211517333984,1.0050873756408691,0.08589696884155273,0.41106200218200684,0.0010039806365966797
1,5,3.9845266342163086,-0.0004000663757324219,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,0.9998999834060669,3.9827709197998047,2.8107447624206543,0.0017237663269042969,0.5520670413970947,0.0969548225402832,0.40065765380859375,0.00043892860412597656
1,6,4.198572158813477,-0.0004000663757324219,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,0.9998999834060669,4.19629693031311,2.5950798988342285,0.002241373062133789,1.003117561340332,0.08539581298828125,0.3920457363128662,0.0011768341064453125
1,7,4.385636806488037,-0.0004000663757324219,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,0.9998999834060669,4.3838114738464355,3.202275037765503,0.0017902851104736328,0.5536653995513916,0.09719491004943848,0.4153478145599365,0.0004253387451171875
1,8,4.425926208496094,-0.0004000663757324219,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,0.9998999834060669,4.424422740936279,3.193976640701294,0.0014696121215820312,0.5802457332611084,0.1004478931427002,0.43701648712158203,0.0005121231079101562
1,9,4.6915812492370605,-0.0004000663757324219,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,0.9998999834060669,4.3645994663238525,3.1444027423858643,0.32694101333618164,0.5586788654327393,0.09768509864807129,0.44405221939086914,0.00045013427734375
1,10,4.7481465339660645,-0.0004000663757324219,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,0.9998999834060669,4.745908737182617,3.4991602897644043,0.0021970272064208984,0.6157920360565186,0.10425734519958496,0.4177839756011963,0.0005359649658203125
1,11,4.596705198287964,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,4.594460725784302,2.87090802192688,0.0022110939025878906,1.1023931503295898,0.09685254096984863,0.4003453254699707,0.0011699199676513672
1,12,3.9997918605804443,-0.0004000663757324219,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,0.9998999834060669,3.997291326522827,2.362060785293579,0.002457141876220703,1.0094473361968994,0.08662748336791992,0.41141176223754883,0.0012083053588867188
1,13,2.9829728603363037,-0.0004000663757324219,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,0.9998999834060669,2.981501340866089,1.9411520957946777,0.0014348030090332031,0.430600643157959,0.08051919937133789,0.39177775382995605,0.00043320655822753906
1,14,3.902240037918091,-0.0004000663757324219,0.9998999834060669,0.9998999834060669,9.999999747378752e-05,0.9998999834060669,3.899885892868042,2.3120694160461426,0.0023245811462402344,0.9924881458282471,0.08312344551086426,0.3907039165496826,0.0009958744049072266
1,15,3.3043646812438965,-0.0004000663757324219,0.9998999834060669,9.999999747378752e-05,9.999999747378752e-05,0.9998999834060669,3.3019421100616455,2.2347359657287598,0.0023851394653320312,0.4706888198852539,0.08581852912902832,0.38073301315307617,0.0004248619079589844
