k,s,total_time_seconds,best_log_likelihood,full_fit,gradient_gpu,init_cpu_gpu,mcmc_cpu,optimizer_gpu,transfer_pcie,warm_up_mcmc_cpu
1,1,3.773135185241699,-0.0004000663757324219,3.77030348777771,2.530933141708374,0.002796649932861328,0.9702801704406738,0.10048627853393555,0.11043381690979004,0.0009005069732666016
1,2,4.2396461963653564,-0.0004000663757324219,4.238367080688477,2.8878419399261475,0.0012423992156982422,1.0623044967651367,0.11133360862731934,0.11628174781799316,0.0008895397186279297
1,3,4.27682089805603,-0.0004000663757324219,4.273977994918823,2.8636693954467773,0.002808809280395508,1.1281065940856934,0.10896587371826172,0.11212325096130371,0.0012302398681640625
1,4,4.186051607131958,-0.0004000663757324219,4.183338642120361,2.8209986686706543,0.0026717185974121094,1.0835754871368408,0.1052253246307373,0.11115336418151855,0.0012476444244384766
1,5,3.8862357139587402,-0.0004000663757324219,3.883575201034546,2.984229564666748,0.002629518508911133,0.5934219360351562,0.11775064468383789,0.12141561508178711,0.0004336833953857422
1,6,4.308725833892822,-0.0004000663757324219,4.305910348892212,2.8723151683807373,0.002783536911010742,1.1501922607421875,0.10891556739807129,0.1134328842163086,0.0012507438659667969
1,7,3.9652373790740967,-0.0004000663757324219,3.9623382091522217,2.980485677719116,0.002861499786376953,0.5910379886627197,0.11826300621032715,0.19615769386291504,0.0004696846008300781
1,8,3.104515790939331,-0.0004000663757324219,3.1015541553497314,2.1758646965026855,0.0029325485229492188,0.46255064010620117,0.10002708435058594,0.27531933784484863,0.0005354881286621094
1,9,2.8167991638183594,-0.0004000663757324219,2.813711404800415,1.9473466873168945,0.0030596256256103516,0.4268515110015869,0.09502649307250977,0.26099538803100586,0.00043320655822753906
1,10,2.8195183277130127,-0.0004000663757324219,2.81396484375,1.9474520683288574,0.005524873733520508,0.42700719833374023,0.09503865242004395,0.26117825508117676,0.0004429817199707031
1,11,4.1535515785217285,-0.0004000663757324219,4.150186538696289,2.716444730758667,0.0033292770385742188,1.0033023357391357,0.09945082664489746,0.23223352432250977,0.0009980201721191406
1,12,4.26503324508667,-0.0004000663757324219,4.2615368366241455,2.7889440059661865,0.0034575462341308594,1.011354684829712,0.10041952133178711,0.2714557647705078,0.0010328292846679688
1,13,4.083991765975952,-0.0004000663757324219,4.0804603099823,3.001816511154175,0.0034971237182617188,0.5891983509063721,0.1187899112701416,0.28893589973449707,0.00043964385986328125
1,14,4.271099090576172,-0.0004000663757324219,4.267568588256836,2.7839202880859375,0.003499269485473633,1.0152838230133057,0.09993505477905273,0.27872800827026367,0.001249551773071289
1,15,4.089840650558472,-0.0004000663757324219,4.086328744888306,3.009702682495117,0.0034775733947753906,0.5907158851623535,0.11877608299255371,0.2757861614227295,0.0004305839538574219
1,16,3.3994264602661133,-0.0004000663757324219,3.395817756652832,2.0309019088745117,0.0035767555236816406,0.8888182640075684,0.09694242477416992,0.2920067310333252,0.0011026859283447266
1,17,3.9866483211517334,-0.0004000663757324219,3.983442783355713,2.9131417274475098,0.003173828125,0.5776371955871582,0.11656427383422852,0.28528738021850586,0.00042819976806640625
1,18,3.652397394180298,0.0,3.6489264965057373,2.6609444618225098,0.0034248828887939453,0.3618776798248291,0.12116885185241699,0.3908393383026123,0.000316619873046875
1,19,4.286772727966309,-0.0004000663757324219,4.282257795333862,3.0563008785247803,0.00447535514831543,0.5728483200073242,0.12160706520080566,0.4129359722137451,0.0007510185241699219
1,20,3.624948740005493,0.0,3.6198415756225586,2.6425087451934814,0.005062580108642578,0.3649017810821533,0.1195688247680664,0.3732609748840332,0.00033926963806152344
1,21,4.412390947341919,-0.0004000663757324219,4.408268690109253,2.7767672538757324,0.004082679748535156,1.0229363441467285,0.10103631019592285,0.38352465629577637,0.001264333724975586
1,22,4.011804580688477,-0.0004000663757324219,4.008296251296997,2.399569034576416,0.003467559814453125,0.9907515048980713,0.0984799861907959,0.3949754238128662,0.0009963512420654297
