k,s,total_time_seconds,best_log_likelihood,full_fit,gradient_gpu,init_cpu_gpu,mcmc_cpu,optimizer_gpu,transfer_pcie,warm_up_mcmc_cpu
1,1,4.507663249969482,-0.0004000663757324219,4.5051233768463135,2.8634469509124756,0.0024983882904052734,0.9954259395599365,0.09012579917907715,0.4370400905609131,0.00087738037109375
1,2,4.041980981826782,-0.0004000663757324219,4.039490222930908,2.5032026767730713,0.0024602413177490234,0.9064795970916748,0.08480978012084961,0.4259781837463379,0.0009012222290039062
1,3,3.568535804748535,-0.0004000663757324219,3.566725492477417,1.959519863128662,0.0017833709716796875,0.9603946208953857,0.0810861587524414,0.42732715606689453,0.0009739398956298828
1,4,4.171014785766602,-0.0004000663757324219,4.168712615966797,2.551391124725342,0.0022733211517333984,1.0050873756408691,0.08589696884155273,0.41106200218200684,0.0010039806365966797
1,5,3.9845266342163086,-0.0004000663757324219,3.9827709197998047,2.8107447624206543,0.0017237663269042969,0.5520670413970947,0.0969548225402832,0.40065765380859375,0.00043892860412597656
1,6,4.198572158813477,-0.0004000663757324219,4.19629693031311,2.5950798988342285,0.002241373062133789,1.003117561340332,0.08539581298828125,0.3920457363128662,0.0011768341064453125
1,7,4.385636806488037,-0.0004000663757324219,4.3838114738464355,3.202275037765503,0.0017902851104736328,0.5536653995513916,0.09719491004943848,0.4153478145599365,0.0004253387451171875
1,8,4.425926208496094,-0.0004000663757324219,4.424422740936279,3.193976640701294,0.0014696121215820312,0.5802457332611084,0.1004478931427002,0.43701648712158203,0.0005121231079101562
1,9,4.6915812492370605,-0.0004000663757324219,4.3645994663238525,3.1444027423858643,0.32694101333618164,0.5586788654327393,0.09768509864807129,0.44405221939086914,0.00045013427734375
1,10,4.7481465339660645,-0.0004000663757324219,4.745908737182617,3.4991602897644043,0.0021970272064208984,0.6157920360565186,0.10425734519958496,0.4177839756011963,0.0005359649658203125
1,11,4.596705198287964,-0.0004000663757324219,4.594460725784302,2.87090802192688,0.0022110939025878906,1.1023931503295898,0.09685254096984863,0.4003453254699707,0.0011699199676513672
1,12,3.9997918605804443,-0.0004000663757324219,3.997291326522827,2.362060785293579,0.002457141876220703,1.0094473361968994,0.08662748336791992,0.41141176223754883,0.0012083053588867188
1,13,2.9829728603363037,-0.0004000663757324219,2.981501340866089,1.9411520957946777,0.0014348030090332031,0.430600643157959,0.08051919937133789,0.39177775382995605,0.00043320655822753906
1,14,3.902240037918091,-0.0004000663757324219,3.899885892868042,2.3120694160461426,0.0023245811462402344,0.9924881458282471,0.08312344551086426,0.3907039165496826,0.0009958744049072266
1,15,3.3043646812438965,-0.0004000663757324219,3.3019421100616455,2.2347359657287598,0.0023851394653320312,0.4706888198852539,0.08581852912902832,0.38073301315307617,0.0004248619079589844
1,16,4.12655782699585,-0.0004000663757324219,4.124877691268921,2.5747482776641846,0.0016446113586425781,0.934643030166626,0.08573627471923828,0.40761446952819824,0.0010907649993896484
1,17,3.9162495136260986,-0.0004000663757324219,3.913968086242676,2.7499582767486572,0.002244234085083008,0.5494711399078369,0.09475183486938477,0.405590295791626,0.0004470348358154297
1,18,3.795564889907837,0.0,3.7933642864227295,2.736743688583374,0.0021517276763916016,0.410372257232666,0.11446475982666016,0.4164083003997803,0.0003154277801513672
1,19,4.305885553359985,-0.0004000663757324219,4.30422306060791,3.0847105979919434,0.0016205310821533203,0.5882916450500488,0.10229277610778809,0.41960597038269043,0.0007724761962890625
1,20,3.588890790939331,0.0,3.5867834091186523,2.6062870025634766,0.002068042755126953,0.3558182716369629,0.09503340721130371,0.4171764850616455,0.0002923011779785156
1,21,4.445182800292969,-0.0004000663757324219,4.442995309829712,2.8174126148223877,0.002148866653442383,1.0262513160705566,0.08463716506958008,0.4110097885131836,0.0011477470397949219
1,22,4.520572662353516,-0.0004000663757324219,4.518760442733765,2.829096794128418,0.0017757415771484375,1.1232149600982666,0.10411763191223145,0.35179686546325684,0.0010104179382324219
1,23,4.1119704246521,-0.0004000663757324219,4.109971284866333,2.9518260955810547,0.0019571781158447266,0.5605340003967285,0.09739422798156738,0.392986536026001,0.0004622936248779297
1,24,3.9485085010528564,-0.0004000663757324219,3.946274995803833,2.8224143981933594,0.002193450927734375,0.5415444374084473,0.09323716163635254,0.3845951557159424,0.00043845176696777344
1,25,4.500691175460815,-0.0004000663757324219,4.498713493347168,3.2843997478485107,0.0019378662109375,0.5814805030822754,0.10178899765014648,0.42041873931884766,0.0005125999450683594
1,26,4.3216712474823,0.0,4.320165634155273,3.1742825508117676,0.0014505386352539062,0.45443296432495117,0.1300804615020752,0.4425661563873291,0.00031280517578125
1,27,3.8927929401397705,-0.0004000663757324219,3.8902125358581543,2.7462077140808105,0.0025413036346435547,0.5360710620880127,0.09505772590637207,0.39338135719299316,0.0005631446838378906
1,28,3.583146572113037,-0.0004000663757324219,3.581057548522949,2.4813921451568604,0.0020360946655273438,0.5109732151031494,0.0911264419555664,0.3836362361907959,0.0004374980926513672
1,29,4.495913028717041,-0.0004000663757324219,4.493657350540161,2.8509018421173096,0.0022177696228027344,1.0307490825653076,0.08761358261108398,0.4300093650817871,0.0012645721435546875
